date,H,G,Rn,LE,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,rso,flux,energy,ebr_5day_clim,ebc_cf,ebr_corr,flux_corr,H_corr,ebr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2003-06-18,,,,,,,,,377.3967253245769,,,0.9999999999999858,1.0000000000000142,0.9999999999999858,,,,,,,11.1,8.0,0.0,,,,False,
2003-06-19,,,193.88576666666665,,0.0,28.0,28.0,28.0,377.42894227883687,,,0.999999999999994,1.0000000000000062,0.999999999999994,,,,,,,10.3,7.4,0.0,,,,False,
2003-06-20,,,193.40180138888888,,0.0,35.0,35.0,35.0,377.4322870813303,,,1.0000000000000009,0.9999999999999992,1.0000000000000009,,,,,,,8.7,6.4,0.0,,,,False,
2003-06-21,,,191.22484027777782,,0.0,37.0,37.0,37.0,377.4067817371865,,,1.000000000000007,0.9999999999999928,1.000000000000007,,,,,,,8.6,6.3,0.0,,,,False,
2003-06-22,,,187.52697083333337,,0.0,38.0,38.0,38.0,377.3524483356504,,,1.000000000000019,0.9999999999999808,1.000000000000019,,,,,,,7.6,5.8,0.0,,,,False,
2003-06-23,,,,,0.0,35.0,35.0,35.0,377.26930903178453,,,1.000000000000028,0.999999999999972,1.000000000000028,,,,,,,7.4,5.4,4.1,,,,False,
2003-06-24,,,209.16358194444442,,0.0,10.0,10.0,10.0,377.1573860341279,,,1.0000000000000389,0.9999999999999613,1.0000000000000389,,,,,,,9.400001,6.7000003,0.0,,,,False,
2003-06-25,,,,,0.0,57.0,57.0,57.0,377.01670159834885,,,1.0000000000000515,0.9999999999999484,1.0000000000000515,,,,,,,10.1,7.3,0.0,,,,False,
2003-06-26,,,199.3467916666667,,0.0,38.0,38.0,38.0,376.8472780269631,,,1.0000000000000642,0.9999999999999358,1.0000000000000642,,,,,,,9.8,7.2000003,0.0,,,,False,
2003-06-27,,,,,0.0,18.0,18.0,18.0,376.64913767524394,,,1.000000000000073,0.999999999999927,1.000000000000073,,,,,,,9.400001,7.0,0.0,,,,False,
2003-06-28,,,177.8034763888889,,0.0,20.0,20.0,20.0,376.42230296348447,,,1.0000000000000748,0.9999999999999252,1.0000000000000748,,,,,,,10.6,7.8,0.0,,,,False,
2003-06-29,,,197.60623611111112,,0.0,7.0,7.0,7.0,376.16679639582316,,,1.0000000000000762,0.9999999999999238,1.0000000000000762,,,,,,,12.8,8.900001,0.0,,,,False,
2003-06-30,,,196.06835277777776,,0.0,19.0,19.0,19.0,375.88264058587083,,,1.0000000000000775,0.9999999999999224,1.0000000000000775,,,,,,,12.0,8.3,0.0,,,,False,
