date,Rn,ws,g_1,t_avg,rh,theta_1,LE,wd,G,H,g_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,LE_subday_gaps,H_subday_gaps,rso,flux,energy,ebr_5day_clim,ebr_corr,ebc_cf,H_corr,ebr,flux_corr,LE_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2018-01-10,-5.56288110416666,2.5692368249999995,-20.89543394791666,34.37855604166667,85.83730708333333,0.5965882041666667,43.92552852083333,79.02766729166666,-19.668322188541666,-0.7991991666666668,-18.441210429166667,33.2869,35.56941,0.0,0.0,3.0,3.0,164.4500587829364,43.12632935416666,14.105441084375006,0.8460024539500149,0.8460024539500149,1.182029668272196,-0.9446771258584156,3.0574250812999324,50.976600780303094,51.92127790616151,1.5683590037468145,1.8538468729305584,2.9,2.0,0.0,0.9269234364652792,,,False,
2018-01-11,67.60971427083332,1.7254903729166668,-17.182674354166668,30.885622291666674,26.279786875000006,0.3351005583333333,108.85471092916669,207.44276366875,-17.269586101041664,-37.046614525,-17.356497847916664,25.69495,35.80246,0.0,0.0,0.0,0.0,165.2403169946653,71.80809640416666,84.87930037187498,0.8460024539500149,0.8460024539500149,1.182029668272196,-43.79019747759367,0.8460024539500149,84.87930037187502,128.66949784946868,3.8734517480669015,4.578534884835879,2.6000001,1.8000001,0.0,2.5436303905006974,,,False,
2018-01-12,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,166.06537191407523,,,,,,,,,,,,3.6000001000000004,2.4,0.0,,,,False,
2018-01-13,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,166.9249221717214,,,,,,,,,,,,5.6,3.5,0.0,,,,False,
2018-01-14,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,167.818651386283,,,,,,,,,,,,4.6,2.9,0.0,,,,False,
2018-01-15,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,168.7462281003543,,,,0.8460024539500149,1.182029668272196,,,,,,,2.7,1.8000001,0.0,,,,False,
2018-01-16,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,169.70730572569627,,,,0.8460024539500149,1.182029668272196,,,,,,,2.3,1.6,0.0,,,,False,
2018-01-17,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,170.7015224990365,,,,,,,,,,,,4.6,2.9,0.0,,,,False,
2018-01-18,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,171.72850144948453,,,,,,,,,,,,4.1,2.6000001,0.0,,,,False,
2018-01-19,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,172.78785037859802,,,,,,,,,,,,5.2000003,3.3,0.0,,,,False,
2018-01-20,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,173.8791618541079,,,,,,,,,,,,5.3,3.4,0.0,,,,False,
2018-01-21,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,175.00201321826862,,,0.876025086316388,0.876025086316388,1.1415198213157527,,,,,,,5.1,3.2,0.0,,,,False,
2018-01-22,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,176.15596661175798,,,0.8316789673457501,0.8316789673457501,1.202387025839352,,,,,,,5.0,3.1000001,0.0,,,,False,
2018-01-23,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,177.34056901400834,,,0.8168969276888708,0.8168969276888708,1.224144645554191,,,,,,,5.8,3.6000001000000004,0.0,,,,False,
2018-01-24,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,178.55535230079494,,,0.8095059078604312,0.8095059078604312,1.2353214353222637,,,,,,,5.2000003,3.3,0.0,,,,False,
2018-01-25,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,179.7998333198589,,,0.8050712959633675,0.8050712959633675,1.2421260141977566,,,,,,,4.7000003,3.0,0.0,,,,False,
2018-01-26,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,181.07351398528183,,,0.8021148880319916,0.8021148880319916,1.2467042002592974,,,,,,,5.7000003,3.6000001000000004,0.0,,,,False,
2018-01-27,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,182.37588139126998,,,0.8000031680810089,0.8000031680810089,1.2499950498930266,,,,,,,7.2000003,4.4,0.0,,,,False,
2018-01-28,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,183.7064079459426,,,0.7984193781177719,0.7984193781177719,1.2524746109712954,,,,,,,8.8,5.3,0.0,,,,False,
2018-01-29,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,185.06455152565644,,,0.7971875414796985,0.7971875414796985,1.2544099700101328,,,,,,,8.400001,5.2000003,0.0,,,,False,
2018-01-30,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,186.4497556503267,,,0.79620207216924,0.79620207216924,1.2559625689939689,,,,,,,5.8,3.6000001000000004,0.0,,,,False,
2018-01-31,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,187.861449680141,,,0.7953957790970464,0.7953957790970464,1.2572357388358606,,,,,,,3.6000001000000004,2.4,0.0,,,,False,
2018-02-01,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,189.29904903398915,,,0.7792699176531781,0.7792699176531781,1.28325241016818,,,,,,,3.2,2.2,0.0,,,,False,
2018-02-02,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,190.76195542986167,,,0.7784636245809848,0.7784636245809848,1.2845815378184935,,,,,,,3.0,2.2,0.0,,,,False,
2018-02-03,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,192.24955714739812,,,0.7774781552705261,0.7774781552705261,1.2862097709382545,,,,,,,3.6000001000000004,2.5,0.0,,,,False,
2018-02-04,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,193.76122931269174,,,0.7762463186324529,0.7762463186324529,1.2882508760386056,,,,,,,3.4,2.4,0.0,,,,False,
2018-02-05,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,195.29633420538812,,,0.7746625286692158,0.876025086316388,1.1415198213157527,,,,,,,3.6000001000000004,2.6000001,0.0,,,,False,
2018-02-06,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,196.85422158803684,,,0.772550808718233,0.7873328483751123,1.2701108585317982,,,,,,,4.4,3.0,0.0,,,,False,
2018-02-07,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,198.43422905758754,,,0.7695944007868571,0.7873328483751123,1.2701108585317982,,,,,,,7.2000003,4.6,0.0,,,,False,
2018-02-08,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,200.0356824188467,,,0.7651597888897934,0.7873328483751123,1.2701108585317982,,,,111.2527911134822,,3.917319870650532,7.2000003,4.5,0.0,,0.8705155268112292,3.917319870650532,True,3.917319870650532
2018-02-09,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,201.6578960796425,,,0.7577687690613537,0.7873328483751123,1.2701108585317982,,,,79.11309708179769,,2.7856497273053487,4.8,3.2,0.0,,0.8705155268112292,2.7856497273053487,True,2.7856497273053487
2018-02-10,102.82363041666667,2.198515904166667,-4.430186862500001,35.10837312500001,80.49060375,0.5993627916666671,82.78712331249999,159.89706187500005,-3.698626474270833,10.529045975,-2.9670660860416707,32.38507,38.26226,0.0,0.0,2.0,2.0,203.30017346736972,93.3161692875,106.52225689093751,0.7429867294044745,0.7873328483751123,1.2701108585317982,13.373055622828026,0.876025086316388,118.52187988864522,105.1488242658172,2.9580168084012546,3.757009268070007,7.0,4.5,0.0,0.8348909484600016,0.8705155268112292,3.917319870650532,False,
2018-02-11,73.18051479166667,1.2662103312500002,-9.077781666666667,30.86913791666666,46.98707958333333,0.2822112625,68.16927771666666,124.2598250375,-8.68776121875,-10.972775389583333,-8.29774077083333,25.46699,38.01302,0.0,0.0,0.0,0.0,204.96180746652425,57.19650232708332,81.86827601041666,0.6986406104338366,0.7873328483751123,1.2701108585317982,-13.936641170540273,0.6986406104338366,72.6458986756678,86.58253984620806,2.425675226121592,3.0808764439686085,5.0,3.4,0.0,0.9061401051624571,0.8705155268112292,2.9597528741770094,False,
2018-02-12,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,206.6420808767621,,,,0.7873328483751123,1.2701108585317982,,,,93.9468002058413,,3.307958960373256,5.7000003,3.8,0.4,,0.8705155268112292,3.307958960373256,True,3.307958960373256
2018-02-13,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,208.34026689095685,,,,0.7873328483751123,1.2701108585317982,,,,64.27939395775402,,2.2633404942374407,3.6000001000000004,2.6000001,0.0,,0.8705155268112292,2.2633404942374407,True,2.2633404942374407
2018-02-14,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,210.05562959265941,,,,0.7873328483751123,1.2701108585317982,,,,71.17769526928073,,2.506236447956156,4.1,2.8,0.90000004,,0.8950844609418245,2.506236447956156,True,2.506236447956156
2018-02-15,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,211.78742447230618,,,,0.7873328483751123,1.2701108585317982,,,,54.848579272115536,,1.9312722612095548,2.7,2.1000001,0.0,,0.9196533950724196,1.9312722612095548,True,1.9312722612095548
2018-02-16,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,213.53489896145737,,,,0.6986406104338366,1.4313510910552816,,,,75.085170335485,,2.6438224767444125,3.9,2.8,0.0,,0.944222329203015,2.6438224767444125,True,2.6438224767444125
2018-02-17,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,215.29729298428987,,,,,,,,,71.53613388926408,,2.5188574232540883,3.5,2.6000001,0.0,,0.9687912633336102,2.5188574232540883,True,2.5188574232540883
2018-02-18,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,217.07383952551362,,,0.8031706132534869,0.8031706132534869,1.2450654736347933,,,,121.31014145658344,,4.271449038564505,6.5,4.3,0.0,,0.9933601974642056,4.271449038564505,True,4.271449038564505
