date,rh,H,sw_out,sw_in,theta_2,Rn,theta_1,wd,lw_in,t_avg,theta_mean,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,138.4659885368525,,,,,,,,,,,,1.2,0.8,0.0,,,,False,
2015-01-02,,,,,,,,,,,,,,,,,,,,,,,138.9477704221078,,,,,,,,,,,,1.0,0.7,0.0,,,,False,
2015-01-03,,,,,,,,,,,,,,,,,,,,,,,139.46802924126305,,,,,,,,,,,,0.3,0.3,1.9,,,,False,
2015-01-04,,,,,,,,,,,,,,,,,,,,,,,140.02662723189607,,,,,,,,,,,,0.2,0.2,0.0,,,,False,
2015-01-05,,,,,,,,,,,,,,,,,,,,,,,140.62341441154283,,,,,,,,,,,,2.5,1.6,0.0,,,,False,
2015-01-06,,,,,,,,,,,,,,,,,,,,,,,141.25822838395422,,,,,,,,,,,,1.6,1.1,0.0,,,,False,
2015-01-07,,,,,,,,,,,,,,,,,,,,,,,141.93089413995975,,,,,,,,,,,,0.5,0.3,0.0,,,,False,
2015-01-08,,,,,,,,,,,,,,,,,,,,,,,142.641223854295,,,,,,,,,,,,2.8,1.7,0.0,,,,False,
2015-01-09,,,,,,,,,,,,,,,,,,,,,,,143.38901667979823,,,0.8442777724146096,1.1844443057407863,,,1.1844443057407863,,,,,1.7,1.1,0.0,,,,False,
2015-01-10,,,,,,,,,,,,,,,,,,,,,,,144.17405854041036,,,0.8442777724146096,1.1844443057407863,,,1.1844443057407863,,,,,2.9,1.8000001,0.0,,,,False,
2015-01-11,,,,,,,,,,,,,,,,,,,,,,,144.99612192443726,,,0.8442777724146096,1.1844443057407863,,,1.1844443057407863,,,,,1.6,1.1,0.6,,,,False,
2015-01-12,,,,,,,,,,,,,,,,,,,,,,,145.85496567955332,,,0.8442777724146096,1.1844443057407863,,,1.1844443057407863,,,,,1.0,0.7,0.0,,,,False,
2015-01-13,,,,,,,,,,,,,,,,,,,,,,,146.75033481102898,,,0.8716211930299603,1.1472873858467858,,,1.1472873858467858,,,,,2.1000001,1.4,0.0,,,,False,
2015-01-14,,,,,,,,,,,,,,,,,,,,,,,147.68196028467162,,,0.8701349281215163,1.1492470508669752,,,1.1492470508669752,,,,,1.4,0.90000004,0.0,,,,False,
2015-01-15,,,,,,,,,,,,,,,,,,,,,,,148.64955883595732,,,0.8799023382586572,1.1364897631469173,,,1.1364897631469173,,,,,2.9,1.9,0.0,,,,False,
2015-01-16,,,,,,,,,,,,,,,,,,,,,,,149.6528327868215,,,0.8909553878794064,1.1223906534536308,,,1.1223906534536308,,,,,4.5,2.8,0.0,,,,False,
2015-01-17,,,,,,,,,,,,,,,,,,,,,,,150.69146987155182,,,0.8997460814680145,1.1114246792477411,,,1.1114246792477411,,,,,4.6,2.9,0.0,,,,False,
2015-01-18,,,,,,,,,,,,,,,,,,,,,,,151.7651430732011,,,0.9069045272638454,1.1026518998830297,,,1.1026518998830297,,,,,6.7000003,4.1,0.0,,,,False,
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,152.8735104719022,,,0.9128467162328754,1.0954741713119018,,,1.0954741713119018,,,,,3.9,2.5,0.0,,,,False,
2015-01-20,,,,,,,,,,,,,,,,,,,,,,,154.01621510642562,,,0.9251885425355876,1.0808607694809782,,,1.0808607694809782,,,,,1.8000001,1.2,0.0,,,,False,
2015-01-21,,,,,,,,,,,,,,,,,,,,,,,155.19288485027806,,,0.9334255497712576,1.0713227211801273,,,1.0713227211801273,,,,,2.0,1.3000001,0.0,,,,False,
2015-01-22,,,,,,,,,,,,,,,,,,,,,,,156.4031323035798,,,0.938917893701707,1.0650558549453941,,,1.0650558549453941,,,,,1.7,1.2,0.0,,,,False,
2015-01-23,,,,,,,,,,,,,,,,,,,,,,,157.64655470191357,,,0.944475254902064,1.0587889887106607,,,1.0587889887106607,,,,,2.2,1.5,0.0,,,,False,
2015-01-24,,,,,,,,,,,,,,,,,,,,,,,158.92273384326512,,,0.9350936258098441,1.069411631518655,,,1.069411631518655,,,,,4.8,3.0,0.0,,,,False,
2015-01-25,,,,,,,,,,,,,,,,,,,,,,,160.23123603411622,,,0.9385672457833976,1.0654537588996364,,,1.0654537588996364,,,,,3.4,2.2,0.0,,,,False,
