date,rh,H,sw_out,sw_in,g_2,Rn,theta_1,g_1,wd,lw_in,t_avg,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2011-01-01,75.16727886666666,,3.1348742916666663,27.148796104166664,3.7684418125000008,13.090080256041668,45.44606645833332,0.1562717291666725,,333.30319375000005,,1.9623567708333396,343.17381666666665,,,-4.23745,12.0491,0,0,26,9.144000000000002,37,111.85911549363972,,11.127723485208328,1.856565641694676,0.5386289488192826,,,0.5386289488192826,,,,,0.4,0.3,8.400001,,,,False,
2011-01-02,63.50659217499999,,11.877508833333332,68.16418708333335,-22.66396679166667,20.694314520833334,40.782286666666685,-19.67293309083334,,254.56070833333328,,-21.16844994125,287.7656979166665,,,-8.27453,-4.42079,0,0,17,0.0,19,112.34421930018921,,41.862764462083334,1.8565656416946756,0.5386289488192827,,,0.5386289488192827,,,,,2.3,1.4,0.0,,,,False,
2011-01-03,64.39742396249999,,16.391828979166664,99.36072979166669,-7.9279363104166665,45.79589964583335,38.92999916666667,-8.297597458333335,,266.66800833333326,,-8.112766884375004,301.4568729166665,,,-7.68226,1.95069,0,0,15,0.0,15,112.8685207365288,,53.90866653020836,1.8565656416946756,0.5386289488192827,,,0.5386289488192827,,,,,2.4,1.5,0.0,,,,False,
2011-01-04,62.72975249166665,,12.484834791666666,77.12747291666666,-10.541336168749998,37.63245761666667,38.66076770833333,-10.998574070833332,,284.2471,,-10.769955119791662,309.7961333333334,,,-5.2297327272727285,1.95278,0,0,16,0.0,16,113.43193375778736,,48.40241273645833,1.856565641694676,0.5386289488192826,,,0.5386289488192826,,,,,1.9,1.2,0.0,,,,False,
2011-01-05,73.0850092645833,,14.31262558333333,84.89792360416666,-20.365139829166665,38.2504744375,37.50253583333333,-16.940175256249994,,261.18644375,,-18.652657542708333,291.5562562500001,,,-9.98994,-3.55338,0,0,27,0.0,29,114.0343633638843,,56.90313198020834,1.8498535473477091,0.5405833350611913,,,0.5405833350611913,,,,,1.9,1.2,0.0,,,,False,
2011-01-06,81.90896278541666,,14.780158395833334,27.29677210416667,-7.342712867916671,3.5217739166666657,36.759389166666665,-6.605983214583333,,291.2444791666667,,-6.97434804125,299.5788708333333,,,-5.880814615384615,-1.11172,0,0,29,0.0,32,114.67570526890889,,10.496121957916666,1.849017946478874,0.5408276333414298,,,0.5408276333414298,,,,,1.1,0.7,1.9,,,,False,
2011-01-07,77.8875992375,4.193146995192305,35.77890412500001,62.89936125,-9.28491854791667,14.098642562500002,36.12000104166667,-7.353751033333332,,273.8421208333332,-7.1292650641025626,-8.319334790625001,286.1122833333333,,2.6405835096153845,-9.323106666666666,-5.962916923076923,0,0,15,0.0,20,115.35584555805536,,22.417977353125004,1.6129002299764563,0.6200011515991892,,,0.6200011515991892,,6.763127752870757,,,1.2,0.8,0.6,,,,False,
2011-01-08,74.04700161041664,,63.00382229166669,90.55667499999998,-9.645130916666664,4.612888229166667,35.33571625000001,-8.039575229166667,,247.74115208333333,,-8.842353072916664,268.64736250000004,,,-13.6181,-8.166739999999999,0,0,43,0.0,47,116.07466033399132,,13.45524130208333,1.4302577640643082,0.6991746698569486,,,0.6991746698569486,,,,,0.8,0.5,0.0,,,,False,
2011-01-09,71.42840840000002,,69.19152414583334,109.11306472916668,-13.071331824583336,6.202213333333329,34.226736875,-11.303768129166661,,238.17028124999993,,-12.187549976875,269.5403375,,,-11.883745833333332,-4.83357,0,0,39,0.0,41,116.8320153545952,,18.389763310208327,1.2943246401321888,0.7726036953896438,,,0.7726036953896438,,,,,1.2,0.7,0.4,,,,False,
2011-01-10,80.85909845208333,,48.61377529166666,75.15891483333333,-12.186687746874995,7.2865870625000015,32.97046041666666,-9.241026331250003,,258.3943479166667,,-10.713857039062502,276.05851041666665,,,-13.7422,-4.02128,0,0,30,0.0,40,117.62776566403559,,18.000444101562504,1.1866656127202682,0.8426973776611232,,,0.8426973776611232,,,,,1.0,0.6,0.0,,,,False,
