date,lw_in,theta_2,sw_in,t_avg,es,ws,wd,theta_mean,Rn,t_dew,H,sw_out,lw_out,vp,LE,theta_1,vpd,rh,G,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,ppt,G_subday_gaps,ASCE_ETo,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.86693883096338,,,,,,,,,,,,0.1,0.1,4.0,,,,False,
2006-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.35778547738548,,,,,,,,,,,,0.2,0.2,1.9,,,,False,
2006-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.88852564404995,,,,,,,,,,,,0.5,0.4,1.4,,,,False,
2006-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.459102313406,,,,,,,,,,,,1.3000001,0.8,0.0,,,,False,
2006-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.06945129430191,,,,,,,,,,,,1.4,0.90000004,0.0,,,,False,
2006-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.71950080444012,,,,,,,,,,,,2.4,1.4,0.0,,,,False,
2006-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.40917103619526,,,,,,,,,,,,2.8,1.6,0.0,,,,False,
2006-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.13837370804492,,,,,,,,,,,,1.0,0.7,0.0,,,,False,
2006-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.90701160392548,,,,,,,,,,,,1.7,1.0,0.0,,,,False,
2006-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7149781028684,,,,,,,,,,,,3.2,1.9,0.0,,,,False,
2006-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.56215670130341,,,,,,,,,,,,3.9,2.3,0.0,,,,False,
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.44842053043381,,,,,,,,,,,,2.6000001,1.6,0.0,,,,False,
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.37363187109248,,,,,,,,,,,,2.4,1.4,0.0,,,,False,
2006-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.33764166847818,,,,,,,,,,,,4.2000003,2.5,0.0,,,,False,
2006-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.34028904915165,,,,,,,,,,,,4.3,2.6000001,0.0,,,,False,
