date,rh,H,sw_in,theta_3,g_2,vp,theta_1,P_1_1_1,g_3,lw_out,g_1,wd,es,ws,LE,sw_out,P_2_1_1,vpd,Rn,lw_in,t_avg,theta_mean,G,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.92320820793282,,,1.2890597921957747,0.7757592053170843,,,0.7757592053170843,,,,,3.3,2.0,0.0,,,,False,
2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.40891949824365,,,1.2887176487779184,0.7759651626935448,,,0.7759651626935448,,,,,2.5,1.5,0.0,,,,False,
2012-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.9336059619272,,,1.2882617399804328,0.7762397725288253,,,0.7762397725288253,,,,,3.3,2.0,0.0,,,,False,
2012-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.49714907700798,,,1.2876240093185138,0.7766242262982178,,,0.7766242262982178,,,,,3.0,1.9,0.0,,,,False,
2012-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.09941930225716,,,1.2866685963110505,0.7772009069523068,,,0.7772009069523068,,,,,3.6000001000000004,2.2,0.0,,,,False,
2012-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.74027583092249,,,1.2850793881336111,0.7781620413757885,,,0.7781620413757885,,,,,3.5,2.2,0.0,,,,False,
2012-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.41956633632438,,,1.281912720067978,0.7800843102227517,,,0.7800843102227517,,,,,2.5,1.6,0.0,,,,False,
2012-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.13712671087038,,,1.291459892414963,0.7743175036818619,,,0.7743175036818619,,,,,1.9,1.3000001,0.0,,,,False,
2012-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.89278080009177,,,,,,,,,,,,2.3,1.4,0.0,,,,False,
2012-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.6863401333374,,,,,,,,,,,,2.7,1.7,0.0,,,,False,
2012-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.51760365279102,,,,,,,,,,,,2.3,1.5,0.0,,,,False,
2012-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.38635744249473,,,,,,,,,,,,3.1000001,1.9,0.0,,,,False,
2012-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.29237445907088,,,,,,,,,,,,2.7,1.7,0.0,,,,False,
2012-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.2354142658349,,,,,,,,,,,,3.2,2.0,0.0,,,,False,
2012-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.21522277198326,,,,,,,,,,,,4.5,2.7,0.0,,,,False,
2012-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.23153197852452,,,,,,,,,,,,2.5,1.6,0.0,,,,False,
2012-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.28405973259592,,,,,,,,,,,,1.8000001,1.2,0.0,,,,False,
2012-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.3725094917766,,,,,,,,,,,,3.0,1.9,0.0,,,,False,
2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.49657009996832,,,,,,,,,,,,1.4,0.90000004,0.0,,,,False,
2012-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.6559155763686,,,,,,,,,,,,1.9,1.2,0.0,,,,False,
2012-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.85020491900966,,,,,,,,,,,,2.5,1.6,0.0,,,,False,
2012-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0790819242741,,,,,,,,,,,,4.4,2.7,4.0,,,,False,
2012-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.3421750237416,,,,,,,,,,,,3.7,2.3,0.0,,,,False,
2012-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.63909713964384,,,,,,,,,,,,3.8,2.3,0.0,,,,False,
2012-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.96944556013833,,,,,,,,,,,,2.5,1.6,0.0,,,,False,
2012-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.33280183553154,,,,,,,,,,,,3.0,1.9,0.0,,,,False,
2012-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.72873169650234,,,,,,,,,,,,3.2,2.0,0.0,,,,False,
2012-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.15678499529255,,,,,,,,,,,,4.1,2.6000001,0.0,,,,False,
2012-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.6164956707481,,,,,,,,,,,,4.0,2.5,0.0,,,,False,
2012-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.10738173800218,,,,,,,,,,,,5.6,3.4,0.0,,,,False,
2012-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.62894530350644,,,,,,,,,,,,4.4,2.8,0.0,,,,False,
2012-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.1806726060244,,,1.32516637170985,0.7546222280827344,,,0.7546222280827344,,,,,3.2,2.1000001,0.0,,,,False,
2012-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.76203408410763,,,1.2380803801886973,0.807702000614523,,,0.807702000614523,,,,,3.7,2.4,3.1000001,,,,False,
2012-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.3724844704871,,,1.2935802819318685,0.7730482707316568,,,0.7730482707316568,,,,,2.1000001,1.4,43.5,,,,False,
2012-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.01146291371757,,,1.3316370975768068,0.7509553479846047,,,0.7509553479846047,,,,,1.2,0.90000004,1.6,,,,False,
2012-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.67839312732167,,,1.3626080626200459,0.7338867480918783,,,0.7338867480918783,,,,,2.4,1.6,0.0,,,,False,
2012-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.37268356659,,,1.3910828201327563,0.7188644597771441,,,0.7188644597771441,,,,,2.6000001,1.7,0.0,,,,False,
2012-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.09372763310307,,,1.4184165943830132,0.7050114923641194,,,0.7050114923641194,,,,,1.7,1.1,0.8,,,,False,
2012-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.84090390695022,,,1.4399003911784334,0.6944924844291395,,,0.6944924844291395,,,,,1.6,1.1,0.0,,,,False,
2012-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.61357640653554,,,1.4569888736001984,0.6863470395137712,,,0.6863470395137712,,,,,2.1000001,1.5,0.0,,,,False,
2012-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.41109487577245,,,1.4708776651566613,0.6798661939662339,,,0.6798661939662339,,,,,1.1,0.8,0.0,,,,False,
2012-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2327950983835,,,1.4823687810065382,0.6745959661407557,,,0.6745959661407557,,,,,2.0,1.3000001,0.0,,,,False,
2012-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0779992389437,,,1.5093662168647135,0.6625297352137776,,,0.6625297352137776,,,,,2.1000001,1.4,0.0,,,,False,
2012-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.94601621021823,,,1.5556942063503567,0.6427998484007922,,,0.6427998484007922,,,,,2.1000001,1.3000001,1.1,,,,False,
2012-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.83614206627445,,,1.573992806848953,0.6353269186801082,,,0.6353269186801082,,,,,1.9,1.4,0.0,,,,False,
2012-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.74766042076882,,,1.5883425797453228,0.6295871008887399,,,0.6295871008887399,,,,,2.3,1.6,0.4,,,,False,
2012-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.6798428897353,,,1.5985155672235205,0.6255803950266879,,,0.6255803950266879,,,,,2.6000001,1.8000001,0.0,,,,False,
2012-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.6319495581348,,,1.5943445055583894,0.6272170139600843,,,0.6272170139600843,,,,,3.1000001,2.1000001,0.0,,,,False,
2012-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.60322946935574,,,1.5851858806182952,0.630840844740526,,,0.630840844740526,,,,,2.2,1.5,0.0,,,,False,
2012-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.59292113679106,,,1.5662981048661877,0.6384480686615095,,,0.6384480686615095,,,,,3.0,2.1000001,0.0,,,,False,
2012-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.60025307655602,,,1.5472065371861126,0.6463261212809306,,,0.6463261212809306,,,,,4.4,2.9,1.7,,,,False,
2012-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.62444436035443,,,1.52865021050015,0.6541718917323904,,,0.6541718917323904,,,,,4.7000003,3.1000001,0.0,,,,False,
2012-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.66470518744129,,,1.510607379238493,0.661985380015889,,,0.661985380015889,,,,,5.4,3.5,0.0,,,,False,
2012-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.7202374745842,,,1.492985502556894,0.6697988682993876,,,0.6697988682993876,,,,,4.3,2.8,0.0,,,,False,
2012-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.79023546287084,,,1.4800345693633616,0.6756598938294739,,,0.6756598938294739,,,,,4.6,3.0,0.0,,,,False,
2012-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.87388634017103,,,1.462971289529328,0.6835404133745668,,,0.6835404133745668,,,,,4.1,2.7,0.0,,,,False,
2012-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.97037087801442,,,1.4475543311910624,0.6908203571034117,,,0.6908203571034117,,,,,6.1,3.9,0.0,,,,False,
2012-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.07886408161232,,,1.4318430083278957,0.6984005887403807,,,0.6984005887403807,,,,,3.8,2.5,0.0,,,,False,
2012-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.19853585171262,,,1.4272256450023824,0.7006600557533639,,,0.7006600557533639,,,,,5.8,3.8,0.0,,,,False,
2012-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.32855165695045,,,1.4226379658150472,0.7029195227663473,,,0.7029195227663473,,,,,4.3,2.9,0.0,,,,False,
2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.46807321532663,,,1.4261174482895218,0.7012045194450114,,,0.7012045194450114,,,,,4.6,3.1000001,0.0,,,,False,
2012-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.61625918342534,,,1.4302279835634313,0.6991892282155515,,,0.6991892282155515,,,,,3.9,2.6000001,0.0,,,,False,
2012-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.77226585196027,,,1.4343622831384608,0.6971739369860918,,,0.6971739369860918,,,,,4.0,2.7,0.0,,,,False,
2012-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.9352478462245,,,1.4385205536954366,0.6951586457566319,,,0.6951586457566319,,,,,6.4,4.1,0.0,,,,False,
2012-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.10435883000753,,,1.442703004318855,0.693143354527172,,,0.693143354527172,,,,,5.6,3.7,0.0,,,,False,
2012-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.27875221153167,,,1.4469825990889285,0.6910933142040792,,,0.6910933142040792,,,,,8.400001,5.4,0.0,,,,False,
2012-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.45758184996043,,,1.4422253628017183,0.6933729123008656,,,0.6933729123008656,,,,,6.4,4.2000003,0.0,,,,False,
