date,rh,es,sw_in,H,vpd,vp,Rn,ws,t_avg,G,t_dew,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
1999-01-01,,,,,,,,,,,,,,,,,,,,,,180.791011722859,,,1.2830889499696407,0.7793691934013313,,,0.7793691934013313,,,,,3.4,2.4,0.0,,,,False,
1999-01-02,,,,,,,,,,,,,,,,,,,,,,181.23771699137882,,,1.2853959254954042,0.7779704137576057,,,0.7779704137576057,,,,,4.9,3.3,1.5,,,,False,
1999-01-03,,,,,,,,,,,,,,,,,,,,,,181.7193639283501,,,1.2909437560585215,0.7746270860422114,,,0.7746270860422114,,,,,3.9,2.7,24.4,,,,False,
1999-01-04,,,,,,,,,,,,,,,,,,,,,,182.23575509122125,,,1.2972686447727662,0.7708503585817904,,,0.7708503585817904,,,,,4.2000003,2.8,0.0,,,,False,
1999-01-05,,,,,,,,,,,,,,,,,,,,,,182.78667721335185,,,1.298940681004922,0.7698580963884761,,,0.7698580963884761,,,,,3.1000001,2.0,0.0,,,,False,
1999-01-06,,,,,,,,,,,,,,,,,,,,,,183.37190118547454,,,1.3089075916950552,0.7639958743802416,,,0.7639958743802416,,,,,2.6000001,1.9,0.0,,,,False,
1999-01-07,,,,,,,,,,,,,,,,,,,,,,183.9911820411668,,,1.3189845491676144,0.7581589948351408,,,0.7581589948351408,,,,,2.7,2.0,0.0,,,,False,
1999-01-08,,,,,,,,,,,,,,,,,,,,,,184.64425894709441,,,1.3305103672482936,0.7515912875358939,,,0.7515912875358939,,,,,2.7,1.9,8.1,,,,False,
1999-01-09,,,,,,,,,,,,,,,,,,,,,,185.33085519881226,,,1.3468148049405055,0.7424925805179089,,,0.7424925805179089,,,,,3.6000001000000004,2.6000001,6.1,,,,False,
1999-01-10,,,,,,,,,,,,,,,,,,,,,,186.0506782229228,,,1.3689725160505375,0.7304748548823923,,,0.7304748548823923,,,,,3.8,2.5,0.0,,,,False,
1999-01-11,,,,,,,,,,,,,,,,,,,,,,186.80341958640582,,,1.380269357003654,0.7244962694606519,,,0.7244962694606519,,,,,3.6000001000000004,2.5,0.0,,,,False,
1999-01-12,,,,,,,,,,,,,,,,,,,,,,187.58875501394303,,,1.3922631434213548,0.7182550258010815,,,0.7182550258010815,,,,,3.8,2.7,0.0,,,,False,
1999-01-13,,,,,,,,,,,,,,,,,,,,,,188.406344414058,,,1.4055021213604435,0.7114894988789193,,,0.7114894988789193,,,,,3.1000001,2.2,0.3,,,,False,
1999-01-14,,,,,,,,,,,,,,,,,,,,,,189.2558319148974,,,1.4162632127596129,0.7060834391451029,,,0.7060834391451029,,,,,4.0,2.8,0.0,,,,False,
1999-01-15,,,,,,,,,,,,,,,,,,,,,,190.13684591046726,,,1.4268438746286018,0.7008475263352085,,,0.7008475263352085,,,,,3.4,2.4,0.0,,,,False,
1999-01-16,,,,,,,,,,,,,,,,,,,,,,191.04899911812907,,,1.4390399696523644,0.6949077309100558,,,0.6949077309100558,,,,,3.5,2.5,0.0,,,,False,
1999-01-17,,,,,,,,,,,,,,,,,,,,,,191.99188864814545,,,1.4431433446654012,0.6929318585686678,,,0.6929318585686678,,,,,3.6000001000000004,2.5,4.3,,,,False,
1999-01-18,,,,,,,,,,,,,,,,,,,,,,192.9650960860429,,,1.4489017145696377,0.6901779395692321,,,0.6901779395692321,,,,,3.6000001000000004,2.6000001,5.1,,,,False,
1999-01-19,,,,,,,,,,,,,,,,,,,,,,193.96818758853718,,,1.4532562113538423,0.6881099094483879,,,0.6881099094483879,,,,,3.5,2.7,0.0,,,,False,
1999-01-20,,,,,,,,,,,,,,,,,,,,,,195.0007139937364,,,1.4560303355288076,0.6867988774676288,,,0.6867988774676288,,,,,2.8,2.3,0.5,,,,False,
1999-01-21,,,,,,,,,,,,,,,,,,,,,,196.0622109463073,,,1.4514083704861442,0.6889859672402561,,,0.6889859672402561,,,,,3.9,2.9,0.0,,,,False,
1999-01-22,,,,,,,,,,,,,,,,,,,,,,197.15219903825016,,,1.4486071106168568,0.6903183014020774,,,0.6903183014020774,,,,,4.9,3.4,0.0,,,,False,
1999-01-23,,,,,,,,,,,,,,,,,,,,,,198.27018396589224,,,1.4458447055016883,0.6916372112404794,,,0.6916372112404794,,,,,5.1,3.4,0.8,,,,False,
1999-01-24,,,,,,,,,,,,,,,,,,,,,,199.41565670366543,,,1.442231850888957,0.6933697930631779,,,0.6933697930631779,,,,,3.4,2.4,14.6,,,,False,
1999-01-25,,,,,,,,,,,,,,,,,,,,,,200.5880936951863,,,1.4441245684944413,0.6924610395919937,,,0.6924610395919937,,,,,3.9,2.9,0.0,,,,False,
1999-01-26,,,,,,,,,,,,,,,,,,,,,,201.7869570621117,,,1.4472056296886582,0.6909868089824478,,,0.6909868089824478,,,,,3.8,2.8,0.0,,,,False,
1999-01-27,,,,,,,,,,,,,,,,,,,,,,203.0116948311881,,,1.4514023688895978,0.6889888162198982,,,0.6889888162198982,,,,,4.4,3.2,0.0,,,,False,
1999-01-28,,,,,,,,,,,,,,,,,,,,,,204.26174117986224,,,1.4643108481701308,0.6829151073009159,,,0.6829151073009159,,,,,4.5,3.3,0.0,,,,False,
1999-01-29,,,,,,,,,,,,,,,,,,,,,,205.5365167007642,,,1.4678645714151481,0.6812617590708071,,,0.6812617590708071,,,,,4.1,3.0,0.0,,,,False,
1999-01-30,,,,,,,,,,,,,,,,,,,,,,206.83542868531532,,,1.4716190345842095,0.6795236922730749,,,0.6795236922730749,,,,,4.3,3.2,0.0,,,,False,
1999-01-31,,,,,,,,,,,,,,,,,,,,,,208.1578714266571,,,1.4736228514133438,0.6785996831149199,,,0.6785996831149199,,,,,5.8,3.8,14.7,,,,False,
1999-02-01,,,,,,,,,,,,,,,,,,,,,,209.50322654203487,,,1.4771638360984374,0.6769729772435077,,,0.6769729772435077,,,,,5.0,3.4,6.3,,,,False,
1999-02-02,,,,,,,,,,,,,,,,,,,,,,210.87086331470942,,,1.481559985919275,0.6749642333108249,,,0.6749642333108249,,,,,3.4,2.4,8.3,,,,False,
1999-02-03,,,,,,,,,,,,,,,,,,,,,,212.26013905540856,,,1.4861922064547477,0.6728604790530158,,,0.6728604790530158,,,,,3.3,2.5,6.9,,,,False,
1999-02-04,,,,,,,,,,,,,,,,,,,,,,213.67039948326598,,,1.4896234215649202,0.6713106047630834,,,0.6713106047630834,,,,,4.8,3.6000001000000004,0.0,,,,False,
1999-02-05,,,,,,,,,,,,,,,,,,,,,,215.10097912613472,,,1.4892874864347394,0.6714620307419201,,,0.6714620307419201,,,,,5.1,3.8,0.0,,,,False,
1999-02-06,,,,,,,,,,,,,,,,,,,,,,216.55120174009517,,,1.4870508673470992,0.6724719523441732,,,0.6724719523441732,,,,,3.6000001000000004,3.0,0.0,,,,False,
1999-02-07,,,,,,,,,,,,,,,,,,,,,,218.02038074792083,,,1.4837416361189133,0.6739717856915729,,,0.6739717856915729,,,,,5.1,3.9,0.0,,,,False,
1999-02-08,,,,,,,,,,,,,,,,,,,,,,219.50781969619567,,,1.4685825688627787,0.6809286867502224,,,0.6809286867502224,,,,,4.2000003,3.3,0.0,,,,False,
