date,theta_3,sw_in,ws,Rn,t_avg,theta_4,rh,G,sw_out,lw_out,H,t_dew,vp,LE,wd,vpd,lw_in,theta_1,theta_2,es,theta_mean,t_min,t_max,H_subday_gaps,G_subday_gaps,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,ebr_corr,ebr_5day_clim,LE_corr,ebc_cf,H_corr,ebr,flux_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,78.39164820375379,,,,,,,,,,,,0.5,0.3,0.0,,,,False,,
2015-01-02,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,78.87349966273587,,,,,,,,,,,,0.6,0.4,2.9,,,,False,,
2015-01-03,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,79.39497071530072,,,,,,,,,,,,0.1,0.1,2.2,,,,False,,
2015-01-04,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,79.95607144555787,,,,,,,,,,,,0.1,0.1,14.400001,,,,False,,
2015-01-05,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,80.55680897482449,,,,,,,,,,,,0.1,0.1,12.400001,,,,False,,
2015-01-06,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,81.19718685380279,,,,,,,,,,,,0.2,0.2,0.3,,,,False,,
2015-01-07,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,81.87720442953686,,,,,,,,,,,,0.2,0.1,0.0,,,,False,,
2015-01-08,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,82.59685619029808,,,,,,,,,,,,0.0,0.0,0.0,,,,False,,
2015-01-09,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,83.35613109161177,,,,,,,,,,,,0.3,0.2,0.0,,,,False,,
2015-01-10,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,84.15501186668314,,,,,,,,,,,,0.5,0.3,3.6000001000000004,,,,False,,
2015-01-11,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,84.9934743245034,,,,,,,,,,,,0.2,0.1,0.0,,,,False,,
2015-01-12,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,85.8714866389199,,,,,,,,,,,,0.6,0.4,0.0,,,,False,,
2015-01-13,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,86.78900863194106,,,,,,,,,,,,0.90000004,0.5,0.0,,,,False,,
2015-01-14,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,87.74599105451048,,,,,,,,,,,,0.8,0.5,0.0,,,,False,,
2015-01-15,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,88.74237486793682,,,,,,,,,,,,0.8,0.5,0.0,,,,False,,
2015-01-16,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,89.77809052909966,,,,,,,,,,,,1.2,0.8,1.4,,,,False,,
2015-01-17,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,90.85305728247026,,,,,,,,,,,,0.90000004,0.5,6.8,,,,False,,
2015-01-18,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,91.96718246189674,,,,,,,,,,,,2.0,1.2,1.7,,,,False,,
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,93.1203608049932,,,,,,,,,,,,1.2,0.7,0.0,,,,False,,
2015-01-20,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,94.31247378286378,,,,,,,,,,,,0.6,0.4,0.0,,,,False,,
2015-01-21,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,95.54338894776377,,,,,,,,,,,,0.6,0.4,0.0,,,,False,,
2015-01-22,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,96.81295930117248,,,,,,,,,,,,0.8,0.5,0.0,,,,False,,
2015-01-23,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,98.12102268461297,,,,,,,,,,,,1.3000001,0.8,1.4,,,,False,,
2015-01-24,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,99.46740119541315,,,,,,,,,,,,2.2,1.3000001,1.0,,,,False,,
2015-01-25,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,100.85190062945487,,,,,,,,,,,,1.9,1.1,0.0,,,,False,,
2015-01-26,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,102.27430995281078,,,,,,,,,,,,1.7,1.0,0.0,,,,False,,
2015-01-27,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,103.73440080401541,,,,,,,,,,,,1.4,0.8,0.0,,,,False,,
2015-01-28,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,105.23192702856852,,,,,,,,,,,,1.2,0.7,0.0,,,,False,,
2015-01-29,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,106.76662424711449,,,,,,,,,,,,0.6,0.4,0.0,,,,False,,
2015-01-30,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,108.3382094585928,,,,,,,,,,,,0.5,0.3,0.0,,,,False,,
