date,rh,H,sw_in,g_2,vp,theta_1,G,lw_out,g_1,ws,es,LE,wd,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,85.62381949106823,,,,,,,,,,,,2.0,1.2,1.8000001,,,,False,
2013-01-02,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,86.11481559854465,,,,,,,,,,,,2.2,1.3000001,0.0,,,,False,
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,86.64604432086234,,,,,,,,,,,,2.5,1.5,0.0,,,,False,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,87.21749489946274,,,,,,,,,,,,2.9,1.7,0.0,,,,False,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,87.82915226922097,,,,,,,,,,,,1.7,1.0,0.0,,,,False,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,88.48099650448627,,,,,,,,,,,,2.3,1.4,0.0,,,,False,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,89.17300224224199,,,,,,,,,,,,2.1000001,1.2,1.4,,,,False,
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,89.90513808526664,,,,,,,,,,,,2.2,1.4,0.0,,,,False,
2013-01-09,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,90.6773659882444,,,,,,,,,,,,3.0,1.8000001,0.0,,,,False,
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,91.48964062981878,,,,,,,,,,,,1.4,0.90000004,1.9,,,,False,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,92.34190877361021,,,,,,,,,,,,0.6,0.4,0.90000004,,,,False,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,93.23410862122937,,,,,,,,,,,,0.8,0.5,2.6000001,,,,False,
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,94.16616916031096,,,,,,,,,,,,0.90000004,0.6,2.0,,,,False,
2013-01-14,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,95.1380095105669,,,,,,,,,,,,1.1,0.7,0.0,,,,False,
2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,96.14953827081995,,,,,,,,,,,,2.2,1.3000001,5.3,,,,False,
2013-01-16,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,97.20065286992659,,,,,,,,,,,,3.1000001,1.9,0.0,,,,False,
2013-01-17,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,98.2912389244255,,,,,,,,,,,,2.7,1.6,0.0,,,,False,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,99.42116960567516,,,,,,,,,,,,4.1,2.5,0.0,,,,False,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,100.59030501914772,,,,,,,,,,,,2.3,1.4,0.0,,,,False,
2013-01-20,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,101.79849159844942,,,,,,,,,,,,1.1,0.7,0.0,,,,False,
2013-01-21,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,103.04556151652606,,,,,,,,,,,,1.6,1.0,0.0,,,,False,
2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,104.33133211639702,,,,,,,,,,,,2.3,1.4,0.0,,,,False,
2013-01-23,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,105.65560536363596,,,,,,,,,,,,1.6,0.90000004,0.0,,,,False,
2013-01-24,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,107.0181673226898,,,,,,,,,,,,3.1000001,1.9,0.0,,,,False,
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,108.41878765899077,,,,,,,,,,,,2.7,1.6,0.0,,,,False,
2013-01-26,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,109.85721916868542,,,,,,,,,,,,2.4,1.5,0.7,,,,False,
2013-01-27,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,111.33319733765946,,,,,,,,,,,,1.4,0.90000004,0.4,,,,False,
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,112.84643993140119,,,,,,,,,,,,2.1000001,1.3000001,0.0,,,,False,
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,114.39664661710422,,,,,,,,,,,,0.90000004,0.6,0.4,,,,False,
2013-01-30,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,115.98349861926745,,,,,,,,,,,,1.4,0.90000004,0.5,,,,False,
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,117.60665840991156,,,,,,,,,,,,1.5,1.0,2.5,,,,False,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,119.26576943439206,,,,,,,,,,,,1.9,1.2,1.1,,,,False,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,120.96045587364945,,,,,,,,,,,,2.1000001,1.3000001,0.3,,,,False,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,122.6903224436051,,,,,,,,,,,,4.0,2.5,0.0,,,,False,
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,124.45495423227531,,,,,,,,,,,,3.6000001000000004,2.2,0.0,,,,False,
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,126.25391657504969,,,,,,,,,,,,3.1000001,1.9,0.0,,,,False,
2013-02-06,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,128.08675496845078,,,,,,,,,,,,3.5,2.2,0.0,,,,False,
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,129.95299502257117,,,,,,,,,,,,3.3,2.0,0.0,,,,False,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,131.85214245226382,,,,,,,,,,,,2.6000001,1.6,0.0,,,,False,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,133.78368310704622,,,,,,,,,,,,1.9,1.2,1.6,,,,False,
2013-02-10,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,135.747083039568,,,,,,,,,,,,1.2,0.8,1.6,,,,False,
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,137.74178861238386,,,,,,,,,,,,2.6000001,1.6,1.9,,,,False,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,139.76722664266887,,,,,,,,,,,,2.2,1.4,0.3,,,,False,
2013-02-13,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,141.82280458441798,,,,,,,,,,,,2.5,1.6,1.0,,,,False,
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,143.90791074757138,,,,,,,,,,,,1.4,0.90000004,1.0,,,,False,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,146.02191455341878,,,,,,,,,,,,2.5,1.6,0.4,,,,False,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,148.16416682555123,,,,,,,,,,,,4.2000003,2.6000001,0.4,,,,False,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,150.33400011553894,,,,,,,,,,,,2.2,1.4,0.8,,,,False,
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,152.5307290624443,,,,,,,,,,,,1.2,0.8,0.0,,,,False,
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,154.7536507851953,,,,,,,,,,,,2.0,1.3000001,0.7,,,,False,
2013-02-20,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,157.00204530678027,,,,,,,,,,,,1.5,1.0,0.0,,,,False,
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,159.27517600915462,,,,,,,,,,,,1.1,0.8,0.0,,,,False,
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,161.5722901176874,,,,,,,,,,,,1.8000001,1.2,0.0,,,,False,
2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,163.8926192139177,,,,,,,,,,,,2.0,1.3000001,1.1,,,,False,
2013-02-24,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,166.2353797753339,,,,,,,,,,,,1.8000001,1.2,0.0,,,,False,
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,168.59977374083869,,,,,,,,,,,,2.2,1.4,0.0,,,,False,
2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,170.9849891005127,,,,,,,,,,,,1.6,1.1,0.0,,,,False,
2013-02-27,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,173.39020050824928,,,,,,,,,,,,1.4,1.0,0.0,,,,False,
2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,175.8145699157879,,,,,,,,,,,,2.1000001,1.4,0.0,,,,False,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,178.2572472266419,,,,,,,,,,,,2.5,1.7,0.0,,,,False,
2013-03-02,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,180.7173709683799,,,,,,,,,,,,3.9,2.5,0.0,,,,False,
2013-03-03,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,183.19406898169356,,,,,,,,,,,,2.3,1.5,1.8000001,,,,False,
2013-03-04,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,185.68645912465684,,,,,,,,,,,,1.4,1.0,1.6,,,,False,
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,188.1936499905644,,,,,,,,,,,,1.6,1.1,1.2,,,,False,
2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,190.71474163771438,,,,,,,,,,,,2.4,1.7,0.3,,,,False,
2013-03-07,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,193.248826329489,,,,,,,,,,,,2.3,1.6,0.6,,,,False,
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,195.79498928307984,,,,,,,,,,,,1.7,1.3000001,0.0,,,,False,
2013-03-09,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,198.35230942519138,,,,,,,,,,,,2.1000001,1.5,0.0,,,,False,
2013-03-10,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,200.91986015306045,,,,,,,,,,,,3.1000001,2.1000001,0.0,,,,False,
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,203.49671009912862,,,,,,,,,,,,2.2,1.5,0.6,,,,False,
2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,206.08192389770798,,,,,,,,,,,,2.4,1.7,0.90000004,,,,False,
2013-03-13,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,208.67456295199426,,,,,,,,,,,,4.5,2.9,0.0,,,,False,
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,211.27368619979057,,,,,,,,,,,,4.9,3.2,0.0,,,,False,
2013-03-15,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,213.87835087632462,,,,,,,,,,,,4.7000003,3.1000001,0.0,,,,False,
2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,216.487613272563,,,,,,,,,,,,2.2,1.7,0.0,,,,False,
2013-03-17,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,219.1005294874492,,,,,,,,,,,,2.1000001,1.5,1.2,,,,False,
2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,221.7161561725229,,,,,,,,,,,,2.6000001,1.7,0.5,,,,False,
2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,224.33355126741031,,,,,,,,,,,,2.9,2.0,0.0,,,,False,
2013-03-20,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,226.95177472471002,,,,,,,,,,,,4.3,2.8,1.0,,,,False,
2013-03-21,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,229.56988922284046,,,,,,,,,,,,3.6000001000000004,2.4,0.4,,,,False,
2013-03-22,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,232.18696086545742,,,,,,,,,,,,2.7,1.8000001,2.2,,,,False,
2013-03-23,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,234.80205986609883,,,,,,,,,,,,2.3,1.6,0.0,,,,False,
2013-03-24,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,237.4142612167636,,,,,,,,,,,,2.3,1.7,0.0,,,,False,
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,240.02264533918495,,,,,,,,,,,,2.9,2.1000001,0.0,,,,False,
2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,242.6262987176176,,,,,,,,,,,,3.6000001000000004,2.6000001,0.5,,,,False,
2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,245.22431451201737,,,,,,,,,,,,3.8,2.7,0.0,,,,False,
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,247.81579315055615,,,,,,,,,,,,3.6000001000000004,2.6000001,0.0,,,,False,
2013-03-29,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,250.3998429004825,,,,,,,,,,,,5.4,3.7,0.0,,,,False,
2013-03-30,,,,,,,,,,,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,,252.97558041640355,,,,,,,,,,,,6.0,4.0,0.0,,,,False,
