date,sw_in,ws,LE,Rn,t_avg,wd,rh,lw_in,G,theta_1,H,sw_out,lw_out,t_min,t_max,H_subday_gaps,G_subday_gaps,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,ebr_corr,ebr_5day_clim,LE_corr,ebc_cf,H_corr,ebr,flux_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2003-01-01,,,,,,,,,,,,,,,,48,48,48,48,109.42559382748915,,,0.6683106902230722,0.6683106902230722,,1.4963100465536692,,,,,,1.2,0.8,0.7,,,,False,
2003-01-02,,,,,,,,,,,,,,,,48,48,48,48,109.9347734479298,,,0.6242864788686618,0.6242864788686618,,1.6018287018040338,,,,,,2.0,1.2,2.2,,,,False,
2003-01-03,,,,,,,,,,,,,,,,48,48,48,48,110.48524359386387,,,0.61444771463925,0.61444771463925,,1.6274777758545536,,,,,,1.7,1.1,1.3000001,,,,False,
2003-01-04,,,,,,,,,,,,,,,,48,48,48,48,111.07693278578327,,,0.6095283325245441,0.6095283325245441,,1.6406128257536456,,,,,,2.9,1.8000001,0.0,,,,False,
2003-01-05,,,,,,,,,,,,,,,,48,48,48,48,111.70976133014099,,,0.6110163431955515,0.6110163431955515,,1.6366174344373583,,,,,,2.6000001,1.6,0.0,,,,False,
2003-01-06,,,,,,,,,,,,,,,,48,48,48,48,112.38364092080872,,,0.6242025667797045,0.6242025667797045,,1.6020440370167894,,,,,,1.6,1.0,0.0,,,,False,
2003-01-07,,,,,,,,,,,,,,,,48,48,48,48,113.09847422493759,,,0.6482987794759649,0.6482987794759649,,1.5424986621266248,,,,,,2.7,1.6,0.0,,,,False,
2003-01-08,,,,,,,,,,,,,,,,48,48,48,48,113.85415445540946,,,0.7012361539608936,0.7012361539608936,,1.4260531125663665,,,,,,1.4,0.90000004,0.0,,,,False,
2003-01-09,,,,,,,,,,,,,,,,48,48,48,48,114.65056493212332,,,0.7533831280857395,0.7533831280857395,,1.32734589177871,,,,,,0.7,0.5,0.7,,,,False,
2003-01-10,,,,,,,,,,,,,,,,48,48,48,48,115.48757863441065,,,0.8020311678607382,0.8020311678607382,,1.2468343377069808,,,,,,0.6,0.5,2.3,,,,False,
2003-01-11,,,,,,,,,,,,,,,,48,48,48,48,116.36505774690126,,,0.8484029731636915,0.8484029731636915,,1.1786851668741845,,,,,,0.7,0.5,0.4,,,,False,
2003-01-12,,,,,,,,,,,,,,,,48,48,48,48,117.28285320118442,,,0.8947747784666444,0.8947747784666444,,1.1175996731978497,,,,,,1.3000001,0.8,1.5,,,,False,
2003-01-13,,,,,,,,,,,,,,,,48,48,48,48,118.24080421561337,,,0.9216626113227464,0.9216626113227464,,1.0849957324023656,,,,,,1.0,0.7,23.1,,,,False,
2003-01-14,,,,,,,,,,,,,,,,48,48,48,48,119.23873783559628,,,0.9176609522658784,0.9176609522658784,,1.0897270909596957,,,,,,1.1,0.8,5.9,,,,False,
2003-01-15,,,,,,,,,,,,,,,,48,48,48,48,120.27646847669895,,,0.9136592932090104,0.9136592932090104,,1.0944998944713171,,,,,,1.2,0.8,0.0,,,,False,
2003-01-16,,,,,,,,,,,,,,,,48,48,48,48,121.35379747285458,,,0.9141993037045278,0.9141993037045278,,1.0938533818039344,,,,,,1.4,0.90000004,0.0,,,,False,
2003-01-17,,,,,,,,,,,,,,,,48,48,48,48,122.4705126319345,,,0.9072799957291122,0.9072799957291122,,1.1021955787710007,,,,,,0.7,0.5,0.0,,,,False,
2003-01-18,,,,,,,,,,,,,,,,48,48,48,48,123.62638780088638,,,0.8883596997303785,0.8883596997303785,,1.125670153996748,,,,,,1.2,0.8,0.0,,,,False,
2003-01-19,,,,,,,,,,,,,,,,48,48,48,48,124.82118244258345,,,0.8377141257641096,0.8377141257641096,,1.19372464811652,,,,,,1.2,0.8,0.0,,,,False,
2003-01-20,,,,,,,,,,,,,,,,48,48,48,48,126.05464122646104,,,0.7917868199787637,0.7917868199787637,,1.2629662110652724,,,,,,1.1,0.8,0.0,,,,False,
2003-01-21,,,,,,,,,,,,,,,,48,48,48,48,127.32649363494184,,,0.7408352561958639,0.7408352561958639,,1.3498277675591852,,,,,,1.5,1.0,0.0,,,,False,
2003-01-22,,,,,,,,,,,,,,,,48,48,48,48,128.63645358756463,,,0.6873454849734177,0.6873454849734177,,1.4548724358590557,,,,,,1.6,1.1,4.0,,,,False,
2003-01-23,,,,,,,,,,,,,,,,48,48,48,48,129.98421908464488,,,0.6338557137509715,0.6338557137509715,,1.5776461082638105,,,,,,1.3000001,0.90000004,1.0,,,,False,
