date,rh,sw_in,H,sw_out,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-01-01,,,,,,,,,,,,,,,,,,,,,108.50682739959072,,,0.9732991867460484,1.0274333048024196,,,1.0274333048024196,,,,,1.3000001,0.8,0.0,,,,False,
2014-01-02,,,,,,,,,,,,,,,,,,,,,109.01313174103943,,,0.9691764803586153,1.0318038254807622,,,1.0318038254807622,,,,,1.7,1.0,0.0,,,,False,
2014-01-03,,,,,,,,,,,,,,,,,,,,,109.56049917847321,,,0.9639875668876082,1.037357777578671,,,1.037357777578671,,,,,1.5,0.90000004,0.0,,,,False,
2014-01-04,,,,,,,,,,,,,,,,,,,,,110.14885938597506,,,0.9662587926143728,1.0349194311539818,,,1.0349194311539818,,,,,1.6,1.0,0.0,,,,False,
2014-01-05,,,,,,,,,,,,,,,,,,,,,110.778133917037,,,0.968922253458105,1.0320745513182072,,,1.0320745513182072,,,,,1.7,1.0,0.0,,,,False,
2014-01-06,,,,,,,,,,,,,,,,,,,,,111.44823580618409,,,0.9662128043003979,1.0349686896605206,,,1.0349686896605206,,,,,2.1000001,1.3000001,0.0,,,,False,
2014-01-07,,,,,,,,,,,,,,,,,,,,,112.159069154989,,,0.9627962464205037,1.0386413571072934,,,1.0386413571072934,,,,,2.4,1.5,4.7000003,,,,False,
2014-01-08,,,,,,,,,,,,,,,,,,,,,112.91052870465931,,,0.9465604697937829,1.0564565412475542,,,1.0564565412475542,,,,,1.3000001,0.8,6.9,,,,False,
2014-01-09,,,,,,,,,,,,,,,,,,,,,113.70249939744184,,,0.9359449778135204,1.068438875900718,,,1.068438875900718,,,,,2.0,1.2,0.0,,,,False,
2014-01-10,,,,,,,,,,,,,,,,,,,,,114.53485592912969,,,0.9255649465520458,1.0804212105538815,,,1.0804212105538815,,,,,2.2,1.4,1.0,,,,False,
2014-01-11,,,,,,,,,,,,,,,,,,,,,115.4074622949935,,,0.9247954490501952,1.0813202000799669,,,1.0813202000799669,,,,,2.4,1.5,1.8000001,,,,False,
2014-01-12,,,,,,,,,,,,,,,,,,,,,116.32017133147416,,,0.9389856155874082,1.0649790405728659,,,1.0649790405728659,,,,,2.5,1.6,1.0,,,,False,
2014-01-13,,,,,,,,,,,,,,,,,,,,,117.27282425598341,,,0.9551361915363236,1.0469711114092677,,,1.0469711114092677,,,,,1.6,1.0,0.0,,,,False,
2014-01-14,,,,,,,,,,,,,,,,,,,,,118.26525020714922,,,0.9727118928307852,1.0280536378452214,,,1.0280536378452214,,,,,1.9,1.2,0.0,,,,False,
2014-01-15,,,,,,,,,,,,,,,,,,,,,119.29726578782706,,,0.9812389184873679,1.019119789440836,,,1.019119789440836,,,,,2.3,1.4,0.0,,,,False,
2014-01-16,,,,,,,,,,,,,,,,,,,,,120.36867461316844,,,0.9943811852287114,1.0056505642451352,,,1.0056505642451352,,,,,1.2,0.8,0.0,,,,False,
2014-01-17,,,,,,,,,,,,,,,,,,,,,121.47926686599536,,,1.011080016459091,0.9890414049543832,,,0.9890414049543832,,,,,1.8000001,1.1,0.0,,,,False,
2014-01-18,,,,,,,,,,,,,,,,,,,,,122.62881886168265,,,1.0267198794182937,0.9739754922896472,,,0.9739754922896472,,,,,1.6,1.0,0.0,,,,False,
2014-01-19,,,,,,,,,,,,,,,,,,,,,123.81709262468617,,,1.0553892459673002,0.9475177085810326,,,0.9475177085810326,,,,,1.6,1.0,0.0,,,,False,
2014-01-20,,,,,,,,,,,,,,,,,,,,,125.04383547879091,,,1.086188496087917,0.9206505165555164,,,0.9206505165555164,,,,,1.1,0.7,0.0,,,,False,
2014-01-21,,,,,,,,,,,,,,,,,,,,,126.30877965307322,,,1.1188394016255054,0.8937833245299999,,,0.8937833245299999,,,,,2.0,1.2,0.0,,,,False,
2014-01-22,,,,,,,,,,,,,,,,,,,,,127.61164190548844,,,1.1626643414124955,0.8600934632476315,,,0.8600934632476315,,,,,1.0,0.7,0.0,,,,False,
2014-01-23,,,,,,,,,,,,,,,,,,,,,128.95212316590838,,,1.176888934435937,0.8496978523120222,,,0.8496978523120222,,,,,1.1,0.7,0.0,,,,False,
2014-01-24,,,,,,,,,,,,,,,,,,,,,130.32990820033376,,,1.2231552898835816,0.8175576791195325,,,0.8175576791195325,,,,,1.1,0.7,0.0,,,,False,
