date,H,sw_out,sw_in,LE,theta_1,ws,rh,wd,G,Rn,t_avg,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2006-01-01,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,159.6628804024262,,,,,,,,,,,,3.3,2.2,4.0,,,,False,
2006-01-02,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,160.1473350530621,,,,,,,,,,,,2.6000001,1.7,23.300001,,,,False,
2006-01-03,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,160.6701783274659,,,,,,,,,,,,2.8,1.8000001,4.9,,,,False,
2006-01-04,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,161.23124090220006,,,,,,,,,,,,3.9,2.5,0.0,,,,False,
2006-01-05,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,161.83033918821468,,,,,,,,,,,,5.2000003,3.2,0.0,,,,False,
2006-01-06,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,162.4672752098002,,,,,,,,,,,,3.9,2.5,0.0,,,,False,
2006-01-07,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,163.141836482144,,,,,,,,,,,,3.2,2.0,0.0,,,,False,
2006-01-08,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,163.8537958886148,,,,,,,,,,,,4.3,2.7,0.0,,,,False,
2006-01-09,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,164.60291155893196,,,,,,,,,,,,4.4,2.8,0.0,,,,False,
2006-01-10,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,165.38892674940712,,,,,,,,,,,,3.8,2.4,0.0,,,,False,
2006-01-11,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,166.21156972646315,,,,,,,,,,,,3.7,2.3,0.0,,,,False,
2006-01-12,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,167.07055365465013,,,,,,,,,,,,3.1000001,2.0,0.0,,,,False,
2006-01-13,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,167.96557649038743,,,,,,,,,,,,3.4,2.2,0.0,,,,False,
2006-01-14,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,168.89632088265836,,,,,,,,,,,,4.2000003,2.7,0.0,,,,False,
2006-01-15,,,,,,,,,,,,,,48.0,48.0,48.0,48.0,169.8624540818799,,,,,,,,,,,,2.9,1.9,6.6,,,,False,
