date,lw_in,sw_in,es,ws,wd,Rn,t_dew,H,sw_out,lw_out,vp,LE,vpd,rh,G,t_avg,t_min,t_max,LE_subday_gaps,H_subday_gaps,Rn_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,flux_corr,ebr_5day_clim,LE_corr,H_corr,ebc_cf,ebr,ebr_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-01-01,,,,,,,,,,,,,,,,,,,48,48,48,48,,129.77783793074548,,,,,,,,,,,,1.9,1.2,0.0,,,,False,
2014-01-02,,,,,,,,,,,,,,,,,,,48,48,48,48,,130.25803905463292,,,,,,,,,,,,2.2,1.4,0.0,,,,False,
2014-01-03,,,,,,,,,,,,,,,,,,,48,48,48,48,,130.776719893958,,,,,,,,,,,,1.8000001,1.2,0.0,,,,False,
2014-01-04,,,,,,,,,,,,,,,,,,,48,48,48,48,,131.33375725735613,,,,,,,,,,,,2.1000001,1.4,0.0,,,,False,
2014-01-05,,,,,,,,,,,,,,,,,,,48,48,48,48,,131.92901667583047,,,,,,,,,,,,4.5,2.7,0.0,,,,False,
2014-01-06,,,,,,,,,,,,,,,,,,,48,48,48,48,,132.5623521745078,,,,,,,,,,,,3.5,2.2,0.0,,,,False,
2014-01-07,,,,,,,,,,,,,,,,,,,48,48,48,48,,133.23360603714949,,,,,,,,,,,,2.4,1.5,0.0,,,,False,
2014-01-08,,,,,,,,,,,,,,,,,,,48,48,48,48,,133.94260856489979,,,,,,,,,,,,2.5,1.6,0.0,,,,False,
2014-01-09,,,,,,,,,,,,,,,,,,,48,48,48,48,,134.68917783079746,,,,,,,,,,,,2.6000001,1.7,0.0,,,,False,
2014-01-10,,,,,,,,,,,,,,,,,,,48,48,48,48,,135.47311943161012,,,,,,,,,,,,2.1000001,1.4,0.0,,,,False,
2014-01-11,,,,,,,,,,,,,,,,,,,48,48,48,48,,136.2942262385808,,,,,,,,,,,,2.0,1.3000001,0.0,,,,False,
2014-01-12,,,,,,,,,,,,,,,,,,,48,48,48,48,,137.15227814868948,,,,,,,,,,,,2.6000001,1.7,0.0,,,,False,
2014-01-13,,,,,,,,,,,,,,,,,,,48,48,48,48,,138.0470418380447,,,,,,,,,,,,3.1000001,1.9,0.0,,,,False,
2014-01-14,,,,,,,,,,,,,,,,,,,48,48,48,48,,138.97827051902053,,,,,,,,,,,,3.9,2.4,0.0,,,,False,
2014-01-15,,,,,,,,,,,,,,,,,,,48,48,48,48,,139.94570370274366,,,,,,,,,,,,4.7000003,2.8,0.0,,,,False,
2014-01-16,,,,,,,,,,,,,,,,,,,48,48,48,48,,140.94906696852482,,,,,,,,,,,,5.0,3.0,0.0,,,,False,
2014-01-17,,,,,,,,,,,,,,,,,,,48,48,48,48,,141.98807174180038,,,,,,,,,,,,4.8,2.9,0.0,,,,False,
2014-01-18,,,,,,,,,,,,,,,,,,,48,48,48,48,,143.06241508212298,,,,,,,,,,,,3.0,1.9,0.0,,,,False,
2014-01-19,,,,,,,,,,,,,,,,,,,48,48,48,48,,144.1717794827005,,,,,,,,,,,,4.0,2.5,0.0,,,,False,
2014-01-20,,,,,,,,,,,,,,,,,,,48,48,48,48,,145.31583268294003,,,,,,,,,,,,3.4,2.1000001,0.0,,,,False,
2014-01-21,,,,,,,,,,,,,,,,,,,48,48,48,48,,146.49422749540156,,,,,,,,,,,,2.7,1.8000001,0.0,,,,False,
2014-01-22,,,,,,,,,,,,,,,,,,,48,48,48,48,,147.70660164851247,,,,,,,,,,,,3.4,2.1000001,0.0,,,,False,
2014-01-23,,,,,,,,,,,,,,,,,,,48,48,48,48,,148.95257764633087,,,,,,,,,,,,4.4,2.7,0.0,,,,False,
2014-01-24,,,,,,,,,,,,,,,,,,,48,48,48,48,,150.23176264658082,,,,,,,,,,,,5.8,3.5,0.0,,,,False,
