date,rh,H,sw_in,t_dew,vp,theta_1,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,G,theta_2,t_min,t_max,Rn_subday_gaps,H_subday_gaps,LE_subday_gaps,G_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2012-01-01,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,130.24826950189632,,,1.256407081993231,0.7959203783009141,,,0.7959203783009141,,,,,2.4,1.5,0.0,,,,False,
2012-01-02,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,130.728151544419,,,1.2496936692570444,0.800196099732593,,,0.800196099732593,,,,,1.8000001,1.2,0.0,,,,False,
2012-01-03,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,131.2464788474042,,,1.2463550948092474,0.8023395613053985,,,0.8023395613053985,,,,,1.7,1.1,0.0,,,,False,
2012-01-04,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,131.80312730924052,,,1.2483467263001935,0.8010594964780057,,,0.8010594964780057,,,,,1.7,1.1,0.0,,,,False,
2012-01-05,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,132.39796149487614,,,1.2503447330924289,0.7997794316506127,,,0.7997794316506127,,,,,2.3,1.5,0.0,,,,False,
2012-01-06,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,133.03083441022315,,,1.2523491458464615,0.79849936682322,,,0.79849936682322,,,,,2.1000001,1.3000001,0.0,,,,False,
2012-01-07,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,133.701587269454,,,1.2543599954197224,0.7972193019958271,,,0.7972193019958271,,,,,2.8,1.8000001,0.0,,,,False,
2012-01-08,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,134.41004925666178,,,1.2563773128681468,0.7959392371684342,,,0.7959392371684342,,,,,3.0,1.8000001,0.0,,,,False,
2012-01-09,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,135.15603728339877,,,1.2599724312344027,0.7936681590884445,,,0.7936681590884445,,,,,2.1000001,1.3000001,0.0,,,,False,
2012-01-10,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,135.93935574364485,,,1.2664295335164573,0.7896215095547635,,,0.7896215095547635,,,,,1.5,1.0,0.0,,,,False,
2012-01-11,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,136.75979626778195,,,1.2697236288695701,0.7875729625432711,,,0.7875729625432711,,,,,1.8000001,1.2,0.0,,,,False,
2012-01-12,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,137.61713747716774,,,1.2754747061305192,0.7840218196358887,,,0.7840218196358887,,,,,2.0,1.3000001,0.0,,,,False,
2012-01-13,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,138.51114474091415,,,1.2766285589412336,0.7833131986561116,,,0.7833131986561116,,,,,3.0,1.8000001,0.0,,,,False,
2012-01-14,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,139.44156993647272,,,1.27804166171443,0.7824471063474951,,,0.7824471063474951,,,,,2.3,1.5,0.0,,,,False,
2012-01-15,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,140.4081512156238,,,1.2798124454941286,0.7813644909617248,,,0.7813644909617248,,,,,1.9,1.3000001,0.0,,,,False,
2012-01-16,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,141.41061277745112,,,1.3131338750346566,0.7615369757890129,,,0.7615369757890129,,,,,2.1000001,1.3000001,0.0,,,,False,
2012-01-17,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,142.44866464985913,,,1.3482368138719445,0.7417094606163008,,,0.7417094606163008,,,,,1.9,1.2,0.0,,,,False,
2012-01-18,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,143.52200248116063,,,1.3852680570720053,0.7218819454435891,,,0.7218819454435891,,,,,1.6,1.1,0.0,,,,False,
2012-01-19,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,144.63030734322524,,,1.4243909829244503,0.7020544302708772,,,0.7020544302708772,,,,,2.2,1.5,1.7,,,,False,
2012-01-20,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,145.773245547635,,,1.4657879627280759,0.6822269150981654,,,0.6822269150981654,,,,,0.7,0.5,5.5,,,,False,
2012-01-21,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,146.9504684762441,,,1.5025796310724415,0.6655221322854393,,,0.6655221322854393,,,,,1.6,1.1,23.9,,,,False,
2012-01-22,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,148.16161242748353,,,1.5403747054946877,0.6491926908646897,,,0.6491926908646897,,,,,0.90000004,0.7,2.4,,,,False,
2012-01-23,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,149.406298479691,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,1.2,0.90000004,15.400001,,,,False,
2012-01-24,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,150.68413237268194,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,1.1,0.90000004,0.0,,,,False,
2012-01-25,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,151.99470440870562,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,1.3000001,1.1,0.0,,,,False,
2012-01-26,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,153.33758937386028,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,1.6,1.2,0.0,,,,False,
2012-01-27,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,154.71234648095958,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,1.8000001,1.3000001,0.0,,,,False,
2012-01-28,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,156.1185193347687,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,2.5,1.7,0.0,,,,False,
2012-01-29,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,157.55563592044012,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,2.7,1.8000001,0.0,,,,False,
2012-01-30,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,159.02320861590064,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,2.2,1.6,0.0,,,,False,
2012-01-31,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,160.52073422885078,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,2.2,1.6,0.0,,,,False,
2012-02-01,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,162.0476940589528,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,2.2,1.6,0.0,,,,False,
2012-02-02,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,163.6035539856958,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,2.9,2.0,0.0,,,,False,
2012-02-03,,,,,,,,,,,,,,,,,,,,,,48,48,48,48,,165.18776458233685,,,1.5810578941816584,0.6324879080519636,,,0.6324879080519636,,,,,2.3,1.7,0.0,,,,False,
