date,rh,theta_14,theta_19,WS_1_2_1,WS_1_3_1,WD_1_4_1,theta_3,theta_6,theta_11,theta_15,g_3,G,WD_1_1_1,es,theta_4,sw_out,WD_1_3_1,theta_16,theta_17,WS_1_1_1,WS_1_4_1,Rn,theta_7,theta_8,lw_in,theta_20,H,sw_in,t_dew,g_2,vp,theta_1,theta_5,SW_IN_1_1_2,theta_13,lw_out,LE,g_1,wd,ws,theta_12,vpd,SW_IN_1_1_1,theta_18,t_avg,theta_mean,theta_10,theta_9,WD_1_2_1,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.7244789516325,,,,,,,,,,,,2.8,1.8000001,1.0,,,,False,
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.20505440240544,,,,,,,,,,,,3.1000001,2.0,0.0,,,,False,
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.7238805147089,,,,,,,,,,,,1.3000001,0.90000004,0.0,,,,False,
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.28080625050342,,,,,,,,,,,,2.3,1.5,0.0,,,,False,
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.8756675090926,,,,,,,,,,,,1.7,1.1,3.7,,,,False,
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.50828696696198,,,,,,,,,,,,0.5,0.4,0.0,,,,False,
2017-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.17847391402512,,,,,,,,,,,,1.3000001,0.90000004,0.6,,,,False,
2017-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.88602408752263,,,,,,,,,,,,3.2,2.0,0.0,,,,False,
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.63071950485644,,,,,,,,,,,,5.0,3.1000001,0.0,,,,False,
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.41232829667302,,,,,,,,,,,,5.1,3.2,0.0,,,,False,
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.2306045415322,,,,,,,,,,,,7.0,4.3,0.0,,,,False,
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.08528810351214,,,,,,,,,,,,0.6,0.5,0.0,,,,False,
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.9761044741122,,,,,,,,,,,,1.2,0.8,0.0,,,,False,
2017-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.90276461981261,,,,,,,,,,,,0.5,0.4,12.1,,,,False,
2017-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8649648366479,,,,,,,,,,,,0.3,0.3,41.2,,,,False,
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.86238661313567,,,,,,,,,,,,1.3000001,0.90000004,0.5,,,,False,
