date,theta_8,WS_1_1_1,sw_out,vp,theta_20,theta_10,SW_IN_1_1_1,theta_3,ws,Rn,theta_17,theta_5,WD_1_5_1,SW_IN_1_1_2,theta_13,theta_11,theta_12,LE,theta_26,lw_in,theta_22,theta_24,WS_1_3_1,theta_mean,WD_1_3_1,WD_1_1_1,sw_in,SW_IN_1_1_3,theta_4,g_3,theta_9,G,lw_out,t_dew,theta_23,WS_1_5_1,vpd,theta_6,theta_16,theta_25,theta_1,theta_2,theta_15,theta_14,WD_1_2_1,g_1,t_avg,WS_1_4_1,rh,theta_18,H,g_2,theta_19,wd,theta_21,WS_1_2_1,es,WD_1_4_1,theta_7,t_min,t_max,LE_subday_gaps,Rn_subday_gaps,G_subday_gaps,ppt,H_subday_gaps,rso,flux,energy,ebr_corr,ebr_5day_clim,LE_corr,ebc_cf,H_corr,ebr,flux_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val,ASCE_ETo
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.84547149540563,,,,,,,,,,,,1.3000001,0.8,0.0,,,,False,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.352285033306,,,,,,,,,,,,1.4,0.8,0.0,,,,False,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90039737621687,,,,,,,,,,,,1.3000001,0.8,0.0,,,,False,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.48976436347381,,,,,,,,,,,,1.9,1.1,0.0,,,,False,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.12033534490774,,,,,,,,,,,,2.2,1.3000001,0.0,,,,False,,
2018-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.79205270752828,,,,,,,,,,,,2.0,1.2,0.0,,,,False,,
2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.50485138304558,,,,,,,,,,,,2.0,1.2,0.0,,,,False,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.25865833873777,,,,,,,,,,,,2.0,1.2,0.0,,,,False,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.05339205424494,,,,,,,,,,,,2.1000001,1.3000001,5.3,,,,False,,
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.88896198690959,,,,,,,,,,,,1.2,0.8,4.0,,,,False,,
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.76526802831995,,,,,,,,,,,,1.6,1.0,4.8,,,,False,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.68219995472755,,,,,,,,,,,,2.1000001,1.3000001,1.2,,,,False,,
2018-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.63963687401224,,,,,,,,,,,,2.0,1.3000001,0.3,,,,False,,
2018-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.63744667185458,,,,,,,,,,,,1.7,1.1,0.0,,,,False,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.67548545974974,,,,,,,,,,,,1.2,0.7,0.0,,,,False,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.75359702745828,,,,,,,,,,,,1.6,1.0,0.0,,,,False,,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.87161230243534,,,,,,,,,,,,1.7,1.0,0.0,,,,False,,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.02934881872135,,,,,,,,,,,,3.0,1.8000001,4.5,,,,False,,
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.2266101977001,,,,,,,,,,,,1.4,0.90000004,8.3,,,,False,,
2018-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.46318564305014,,,,,,,,,,,,0.90000004,0.6,0.0,,,,False,,
2018-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.73884945212582,,,,,,,,,,,,1.0,0.6,0.5,,,,False,,
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.05336054590113,,,,,,,,,,,,1.2,0.8,0.90000004,,,,False,,
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.40646201951141,,,,,,,,,,,,1.4,0.90000004,0.0,,,,False,,
