point,Year,Month,observed,simulated,model
4,2015,4,7.150572033,13.17529751,Ada
8,2018,2,5.450234295,5.61358217,Ada
7,2018,12,19.96671802,12.30292123,Ada
3,2019,4,5.828626136,9.55893065,Ada
3,2017,12,0.567424986,5.88634416,Ada
9,2014,3,11.35296671,13.29154104,Ada
6,2018,4,11.11017613,14.14967732,Ada
4,2014,2,6.7912084,10.16018005,Ada
5,2019,4,14.78028042,11.50694578,Ada
4,2016,4,11.08191898,10.19074169,Ada
2,2018,2,2.398463588,6.73662212,Ada
9,2012,5,5.654710074,7.75052577,Ada
2,2019,4,21.81838127,12.71205577,Ada
0,2019,3,13.16736556,12.71205577,Ada
7,2019,10,3.099965587,5.90621621,Ada
4,2014,4,4.297692827,10.19074169,Ada
3,2018,2,2.291174492,6.67634599,Ada
6,2019,2,27.07093515,24.7069181,Ada
4,2013,4,4.280438492,5.90621621,Ada
2,2016,12,6.939217466,12.24223302,Ada
9,2015,10,3.580061972,5.90621621,Ada
7,2018,10,8.359141989,6.64977567,Ada
2,2017,12,0.399636535,5.90621621,Ada
5,2018,10,16.42467201,7.75052577,Ada
3,2017,11,1.898530626,6.73662212,Ada
9,2011,5,22.76611819,13.29154104,Ada
9,2016,2,14.13958863,7.06866658,Ada
4,2018,4,4.312692098,11.85588716,Ada
0,2019,2,33.38872766,25.57371081,Ada
1,2018,10,5.483880108,8.23851185,Ada
9,2014,12,5.660187314,12.71205577,Ada
9,2012,6,3.003905531,8.10071103,Ada
7,2018,4,11.33125405,20.40707114,Ada
6,2019,5,31.80515037,25.70420119,Ada
7,2019,12,19.90500868,13.49383137,Ada
2,2019,3,9.796348087,12.71205577,Ada
4,2018,5,4.234862606,7.79485249,Ada
0,2016,10,8.936654568,11.83734973,Ada
2,2017,1,22.52026988,24.20774707,Ada
5,2017,11,20.11259489,12.71205577,Ada
4,2019,12,4.210894541,8.53364353,Ada
9,2011,10,2.815849998,6.24341945,Ada
2,2017,9,3.163764948,6.67634599,Ada
5,2018,5,5.997186408,8.10071103,Ada
3,2018,10,1.654591795,7.15681916,Ada
6,2019,1,10.72167751,15.29847101,Ada
6,2019,11,1.73158028,6.22043502,Ada
2,2018,10,4.785497627,12.71205577,Ada
4,2017,5,3.646871045,5.77923611,Ada
9,2012,3,20.49871571,26.57253122,Ada
9,2012,12,6.189997767,11.83734973,Ada
9,2016,3,30.29992254,26.97934918,Ada
9,2015,6,2.993042835,8.23851185,Ada
3,2019,3,24.17831357,18.6356427,Ada
9,2015,5,3.158080504,6.73662212,Ada
1,2019,9,4.392512268,6.64977567,Ada
9,2010,2,25.35982305,17.4452655,Ada
8,2017,12,0.573315257,4.92043082,Ada
9,2012,2,19.93780669,13.49383137,Ada
9,2014,11,21.7346092,12.55363151,Ada
7,2017,3,23.12237426,18.6356427,Ada
0,2016,12,7.952245853,12.24223302,Ada
4,2018,3,8.222585618,11.12608845,Ada
5,2019,10,3.009202133,6.73662212,Ada
9,2013,3,8.295660054,11.85588716,Ada
4,2015,11,2.349283581,8.02592864,Ada
4,2016,3,14.14796359,9.70620705,Ada
9,2014,9,7.560305695,8.73328321,Ada
5,2018,4,25.78419954,19.60093813,Ada
9,2013,5,8.231487228,7.8947957,Ada
1,2017,11,6.565297143,8.53420408,Ada
9,2011,2,21.85212517,13.49383137,Ada
0,2017,5,16.74672866,12.71205577,Ada
0,2017,10,3.92764713,5.90621621,Ada
4,2014,1,1.350812486,3.99633963,Ada
3,2020,4,11.46218612,14.14967732,Ada
1,2018,11,8.418840492,15.2633799,Ada
1,2017,3,17.00566978,13.49383137,Ada
9,2013,6,11.37042125,8.23851185,Ada
9,2012,1,11.21531196,12.30292123,Ada
6,2018,12,6.730787384,11.94161034,Ada
5,2018,1,13.12864585,14.52194859,Ada
9,2015,1,11.79381079,6.67634599,Ada
7,2019,3,32.40258604,22.5746754,Ada
9,2016,11,16.71486408,10.58004767,Ada
7,2017,12,16.55112317,6.73662212,Ada
4,2015,2,3.489009626,9.62431333,Ada
9,2013,4,13.75221182,13.29154104,Ada
3,2017,8,5.373447316,7.8947957,Ada
4,2018,2,1.994999386,5.23601485,Ada
9,2011,12,11.59651672,8.23851185,Ada
7,2018,2,9.218989577,7.8947957,Ada
6,2018,10,1.414425093,6.24341945,Ada
9,2010,11,15.01841214,13.34797803,Ada
9,2009,10,9.522431076,8.73328321,Ada
9,2016,4,10.01170127,13.29154104,Ada
5,2018,3,55.95462359,46.65002943,Ada
6,2020,5,8.113904755,9.066582,Ada
5,2017,3,33.21987992,24.06110665,Ada
4,2020,1,2.518471169,6.08599231,Ada
9,2011,1,10.53014893,11.94161034,Ada
9,2009,6,5.417222821,8.73328321,Ada
4,2015,10,1.592861098,4.95746409,Ada
4,2015,12,6.679375435,9.62431333,Ada
2,2016,11,5.966413644,11.1395736,Ada
4,2014,10,0.768043714,4.92043082,Ada
9,2014,2,16.08534286,14.76036732,Ada
9,2010,10,7.246847269,11.68722016,Ada
8,2017,11,4.235207746,5.20584663,Ada
4,2020,12,1.062534016,6.08599231,Ada
4,2013,6,2.859771397,5.97566699,Ada
3,2020,11,2.697623188,7.15681916,Ada
6,2018,1,7.078320287,13.17529751,Ada
2,2019,2,29.52620352,25.57371081,Ada
2,2019,1,11.06682136,13.17529751,Ada
3,2020,12,5.125539483,8.23851185,Ada
0,2019,4,20.95981566,12.40108074,Ada
5,2017,10,5.991059778,8.73328321,Ada
4,2016,11,1.054710671,4.92043082,Ada
6,2018,3,28.92864225,30.34435952,Ada
9,2009,8,6.89515517,6.73662212,Ada
4,2013,11,0.643760028,6.97688515,Ada
5,2017,1,18.34944128,18.32215392,Ada
9,2009,5,6.472561342,12.30292123,Ada
4,2019,4,4.939601342,10.19074169,Ada
9,2012,9,9.829398956,6.73662212,Ada
6,2020,4,8.070299848,12.71205577,Ada
1,2017,9,10.11482402,7.8947957,Ada
0,2018,1,8.390190468,12.54636697,Ada
3,2020,3,19.15736299,17.4452655,Ada
1,2019,1,1.282058107,8.73328321,Ada
6,2020,3,17.21032921,18.6356427,Ada
3,2018,5,2.690658272,6.73662212,Ada
5,2017,2,20.04127656,22.90101779,Ada
9,2015,12,12.23107378,12.30292123,Ada
5,2018,11,9.311518604,15.01520213,Ada
4,2015,3,3.183373017,4.92043082,Ada
4,2020,6,1.612809636,5.90621621,Ada
2,2017,4,13.72131194,13.29154104,Ada
5,2019,1,24.95420422,18.32215392,Ada
0,2018,11,5.923436408,12.24223302,Ada
9,2010,4,16.90699824,20.40707114,Ada
2,2017,2,2.58968786,11.68722016,Ada
0,2018,3,44.83177431,36.23239108,Ada
9,2017,3,14.13806472,19.60093813,Ada
3,2018,9,3.700958981,5.90621621,Ada
3,2019,1,6.806638277,13.17529751,Ada
9,2016,1,8.649094367,12.71205577,Ada
1,2017,4,23.01616592,15.38937647,Ada
0,2017,1,27.05581825,24.20774707,Ada
0,2019,5,3.815908361,10.19074169,Ada
4,2019,9,2.396050783,5.20584663,Ada
4,2017,4,14.06096151,16.91732378,Ada
5,2017,7,5.73535214,7.75052577,Ada
6,2019,4,13.45922564,10.19074169,Ada
7,2017,1,15.41037358,18.6356427,Ada
5,2017,12,12.04178737,7.75052577,Ada
1,2019,5,49.05105595,39.87697057,Ada
7,2019,2,27.73311196,24.9993931,Ada
7,2019,4,13.98024882,10.05248157,Ada
1,2019,2,38.42358928,26.91980869,Ada
7,2018,11,7.6025644,13.17529751,Ada
3,2018,3,16.21403981,14.75901911,Ada
5,2019,11,26.89724951,16.6358114,Ada
9,2015,9,6.61753809,6.73662212,Ada
7,2017,4,31.61098847,22.11870087,Ada
4,2015,5,4.285434513,5.41701545,Ada
0,2017,12,0.546181582,5.90621621,Ada
4,2020,3,6.507192328,9.51442744,Ada
7,2019,1,28.00418053,18.32215392,Ada
3,2019,2,17.75361921,15.29847101,Ada
8,2018,1,3.036029783,5.0961525,Ada
4,2017,12,1.265862588,5.20584663,Ada
4,2019,3,8.911605507,9.51442744,Ada
9,2011,6,8.601766894,13.17529751,Ada
5,2019,5,33.54498705,25.70420119,Ada
9,2014,1,3.826331704,6.24341945,Ada
0,2017,2,17.70296987,13.24128886,Ada
4,2017,11,2.240949109,9.16011685,Ada
1,2019,4,21.69245449,12.30292123,Ada
9,2009,4,8.29068947,13.17529751,Ada
6,2019,9,1.828964745,5.88634416,Ada
4,2018,1,3.815883693,9.12881064,Ada
4,2019,5,10.49457265,13.17529751,Ada
3,2017,5,4.409070621,9.80023954,Ada
4,2016,1,12.80936478,9.12881064,Ada
9,2013,12,7.64620794,9.55893065,Ada
9,2017,1,7.227270556,12.88836734,Ada
7,2016,12,5.848278069,12.24223302,Ada
3,2017,10,0.981763519,6.39506084,Ada
9,2016,10,11.44761013,14.52194859,Ada
8,2018,3,32.58603513,29.12659766,Ada
3,2020,10,2.822406604,5.90621621,Ada
9,2015,2,27.83080087,16.60882243,Ada
3,2020,9,3.920682208,6.67634599,Ada
0,2018,12,9.64312643,10.06548585,Ada
9,2012,10,13.61446888,11.1395736,Ada
9,2013,9,10.13412501,12.30292123,Ada
1,2017,10,2.74337293,6.64977567,Ada
4,2018,10,1.50759297,5.2458822,Ada
3,2020,1,3.218538485,9.55893065,Ada
5,2016,12,5.484272443,12.88836734,Ada
9,2013,1,7.309064098,6.39506084,Ada
4,2019,1,4.525495613,11.26031896,Ada
8,2017,10,2.93672387,5.41701545,Ada
0,2018,2,2.498632739,6.73662212,Ada
3,2018,1,5.656245483,10.58004767,Ada
9,2015,11,16.64762587,12.71205577,Ada
5,2019,2,24.92049038,24.90031191,Ada
5,2018,12,13.86023451,13.17529751,Ada
6,2019,3,23.64348657,25.44981596,Ada
1,2018,1,5.653355531,12.30292123,Ada
2,2018,4,9.618171061,10.48752814,Ada
4,2016,5,2.869377965,5.77923611,Ada
2,2017,5,16.61527819,12.50349995,Ada
7,2019,9,10.38984487,7.79485249,Ada
0,2018,10,4.346560852,12.71205577,Ada
1,2018,12,6.878712176,10.06548585,Ada
9,2009,11,14.38211176,7.75052577,Ada
3,2017,9,8.65570481,7.06866658,Ada
0,2017,9,3.331262836,6.67634599,Ada
7,2017,5,6.615374114,6.73662212,Ada
5,2016,10,19.45612758,14.75901911,Ada
4,2016,10,5.859264947,9.70620705,Ada
9,2016,9,6.126430906,6.73662212,Ada
0,2018,4,8.692970257,9.97655658,Ada
4,2017,1,12.50871221,11.42569913,Ada
9,2010,12,14.14622876,15.2633799,Ada
4,2015,4,7.150572033,8.42451021,Bagging
8,2018,2,5.450234295,6.59690678,Bagging
7,2018,12,19.96671802,17.85195109,Bagging
3,2019,4,5.828626136,7.21173254,Bagging
3,2017,12,0.567424986,1.07174528,Bagging
9,2014,3,11.35296671,12.1734627,Bagging
6,2018,4,11.11017613,12.21310688,Bagging
4,2014,2,6.7912084,7.48072142,Bagging
5,2019,4,14.78028042,14.62135246,Bagging
4,2016,4,11.08191898,10.25877809,Bagging
2,2018,2,2.398463588,2.9461791,Bagging
9,2012,5,5.654710074,5.85750107,Bagging
2,2019,4,21.81838127,20.95164977,Bagging
0,2019,3,13.16736556,12.80114961,Bagging
7,2019,10,3.099965587,4.24418,Bagging
4,2014,4,4.297692827,5.39363793,Bagging
3,2018,2,2.291174492,2.72359753,Bagging
6,2019,2,27.07093515,26.21600912,Bagging
4,2013,4,4.280438492,4.36502692,Bagging
2,2016,12,6.939217466,7.5788347,Bagging
9,2015,10,3.580061972,4.22499016,Bagging
7,2018,10,8.359141989,8.23120277,Bagging
2,2017,12,0.399636535,0.72495092,Bagging
5,2018,10,16.42467201,12.62772169,Bagging
3,2017,11,1.898530626,2.24106102,Bagging
9,2011,5,22.76611819,17.94749656,Bagging
9,2016,2,14.13958863,12.96754469,Bagging
4,2018,4,4.312692098,6.09375166,Bagging
0,2019,2,33.38872766,31.73998888,Bagging
1,2018,10,5.483880108,5.85340273,Bagging
9,2014,12,5.660187314,7.84645234,Bagging
9,2012,6,3.003905531,4.13561429,Bagging
7,2018,4,11.33125405,15.7712136,Bagging
6,2019,5,31.80515037,30.81466638,Bagging
7,2019,12,19.90500868,18.72985702,Bagging
2,2019,3,9.796348087,10.73342436,Bagging
4,2018,5,4.234862606,4.73231304,Bagging
0,2016,10,8.936654568,8.66478206,Bagging
2,2017,1,22.52026988,22.61452933,Bagging
5,2017,11,20.11259489,18.07774628,Bagging
4,2019,12,4.210894541,4.78770908,Bagging
9,2011,10,2.815849998,3.97230939,Bagging
2,2017,9,3.163764948,3.33973111,Bagging
5,2018,5,5.997186408,6.83408498,Bagging
3,2018,10,1.654591795,2.81111255,Bagging
6,2019,1,10.72167751,13.71550743,Bagging
6,2019,11,1.73158028,5.15192081,Bagging
2,2018,10,4.785497627,6.06450125,Bagging
4,2017,5,3.646871045,4.03730587,Bagging
9,2012,3,20.49871571,21.62230496,Bagging
9,2012,12,6.189997767,7.30655048,Bagging
9,2016,3,30.29992254,29.27666595,Bagging
9,2015,6,2.993042835,4.34754272,Bagging
3,2019,3,24.17831357,21.87334832,Bagging
9,2015,5,3.158080504,3.67588271,Bagging
1,2019,9,4.392512268,4.77585098,Bagging
9,2010,2,25.35982305,22.45361658,Bagging
8,2017,12,0.573315257,1.97249391,Bagging
9,2012,2,19.93780669,18.10028478,Bagging
9,2014,11,21.7346092,19.10476247,Bagging
7,2017,3,23.12237426,23.67076103,Bagging
0,2016,12,7.952245853,7.92902842,Bagging
4,2018,3,8.222585618,9.17905908,Bagging
5,2019,10,3.009202133,3.4999653,Bagging
9,2013,3,8.295660054,8.85112489,Bagging
4,2015,11,2.349283581,2.89073056,Bagging
4,2016,3,14.14796359,13.12875314,Bagging
9,2014,9,7.560305695,7.89064285,Bagging
5,2018,4,25.78419954,24.08250316,Bagging
9,2013,5,8.231487228,7.71985669,Bagging
1,2017,11,6.565297143,5.97730924,Bagging
9,2011,2,21.85212517,21.10239358,Bagging
0,2017,5,16.74672866,16.05390378,Bagging
0,2017,10,3.92764713,3.84630385,Bagging
4,2014,1,1.350812486,1.94804049,Bagging
3,2020,4,11.46218612,11.7168606,Bagging
1,2018,11,8.418840492,11.3776856,Bagging
1,2017,3,17.00566978,16.47628659,Bagging
9,2013,6,11.37042125,9.70842775,Bagging
9,2012,1,11.21531196,11.95934542,Bagging
6,2018,12,6.730787384,7.84224864,Bagging
5,2018,1,13.12864585,12.62107109,Bagging
9,2015,1,11.79381079,10.98946687,Bagging
7,2019,3,32.40258604,29.53211987,Bagging
9,2016,11,16.71486408,15.19730628,Bagging
7,2017,12,16.55112317,14.14982466,Bagging
4,2015,2,3.489009626,5.18322843,Bagging
9,2013,4,13.75221182,12.63112406,Bagging
3,2017,8,5.373447316,5.55352071,Bagging
4,2018,2,1.994999386,3.59317527,Bagging
9,2011,12,11.59651672,11.31700215,Bagging
7,2018,2,9.218989577,10.02192368,Bagging
6,2018,10,1.414425093,3.20406142,Bagging
9,2010,11,15.01841214,14.81918625,Bagging
9,2009,10,9.522431076,9.97502074,Bagging
9,2016,4,10.01170127,11.01437527,Bagging
5,2018,3,55.95462359,47.32197689,Bagging
6,2020,5,8.113904755,7.26097059,Bagging
5,2017,3,33.21987992,30.25605888,Bagging
4,2020,1,2.518471169,3.18685508,Bagging
9,2011,1,10.53014893,10.66723708,Bagging
9,2009,6,5.417222821,5.97810719,Bagging
4,2015,10,1.592861098,1.7709842,Bagging
4,2015,12,6.679375435,6.90861263,Bagging
2,2016,11,5.966413644,6.41305145,Bagging
4,2014,10,0.768043714,1.55941198,Bagging
9,2014,2,16.08534286,16.27632451,Bagging
9,2010,10,7.246847269,7.84670729,Bagging
8,2017,11,4.235207746,4.82125147,Bagging
4,2020,12,1.062534016,1.86439144,Bagging
4,2013,6,2.859771397,3.20722063,Bagging
