,Year,Month,ET_fill,ppt,eto_hargreaves,aet,def,pr,pet,ro,delta,pr_delta,ratio_budyko_hargreaves_Fu,aet_budyko_Fu,ratio_budyko_hargreaves_Turc-pike,aet_budyko_Turc-pike,ratio_budyko_hargreaves_Zhang,aet_budyko_Zhang,ratio_budyko_hargreaves_wang-Tang,aet_budyko_wang-Tang
0,2009,4,8.290689470121812,22.099999999999998,7.4292817351021565,19.0,110.3,11.0,131.6,1.0,-5.5,27.599999999999998,0.24507880942727067,6.76417514019267,0.24501555260880656,6.76242925200306,0.22924835306242267,6.327254544522865,0.24510349902427989,6.764856573070125
1,2009,5,6.472561341878544,17.599999999999998,11.523210912340087,12.4,168.65000000000003,10.0,186.9,0.0,-3.5,21.099999999999998,0.43597610992602864,9.199095919439204,0.4308785193819528,9.091536758959203,0.3984751408282816,8.407825471476741,0.44092875035406653,9.303596632470803
2,2009,6,5.417222821015619,9.5,3.2964961472528187,7.300000000000001,190.8,5.0,201.1,0.0,-2.6000000000000005,12.100000000000001,0.2476963671220287,2.9971260421765473,0.24759793149846593,2.995934971131438,0.23158752791065626,2.802209087718941,0.24775415613584068,2.9978252892436723
4,2009,9,8.310514524531946,1.6,5.217144538436554,4.2,155.10000000000002,2.0,159.70000000000002,0.0,-1.2000000000000002,2.8000000000000003,0.8020996840385028,2.245879115307808,0.7929706870621177,2.22031792377393,0.7628787793035756,2.136060582050012,0.810952454769449,2.2706668733544575
5,2009,10,9.522431076329308,4.3,12.645992579753802,37.150000000000006,56.3,38.0,95.2,2.0,-1.0,5.3,0.8498755047426805,4.504340175136206,0.8440214066266329,4.473313455121154,0.8216315419980477,4.354647172589653,0.8553945243626658,4.5335909791221285
6,2009,11,14.382111761231897,6.3,24.306153249984895,6.4,44.3,6.0,50.8,0.0,-0.7000000000000002,7.0,0.9030070273694353,6.321049191586047,0.9020388170870858,6.3142717196096,0.8910023111238119,6.237016177866684,0.903797497657741,6.326582483604187
7,2009,12,4.160522017136843,14.3,6.6793883146841955,23.700000000000003,0.0,53.0,24.3,3.0,28.3,-14.0,,,,,-0.6348576662403229,8.888007327364521,-0.5331902328644029,7.464663260101641
8,2010,1,17.890223875490463,101.2,30.957395965395474,30.8,0.0,69.0,31.3,3.0,36.3,64.9,0.39412757094965634,25.578879354632697,0.3904878647895276,25.34266242484034,0.3613236802041607,23.449906845250034,0.39761139312041693,25.80497941351506
9,2010,2,25.359823047762816,47.9,32.78658094600659,41.6,0.0,53.0,43.2,3.0,0.3999999999999986,47.5,0.5120541803492924,24.322573566591387,0.504143894009759,23.94683496546355,0.46696631710525605,22.180900062499664,0.5199181558506792,24.696112402907264
10,2010,3,22.841627921444328,46.7,25.48638207684629,51.1,36.1,27.0,88.30000000000001,1.0,-18.3,65.0,0.3375582452131993,21.941285938857956,0.3356264672192551,21.815720369251583,0.3113218817570652,20.23592231420924,0.33936378709643084,22.058646161268005
