Year,aet,def,pr,pet,ro,delta,pr_delta
1993,364.04999999999995,1068.45,365.0,1425.5,36.0,-46.400000000000006,412.4
1994,244.64999999999998,1205.15,276.0,1442.4,14.0,18.799999999999997,258.45000000000005
1995,362.25,1041.7,446.0,1411.85,27.0,10.699999999999989,418.5
1996,386.05,1107.45,472.5,1507.0500000000002,26.0,31.899999999999977,425.85
1997,277.70000000000005,1184.0500000000002,277.0,1474.7,31.0,-31.80000000000001,320.45000000000005
1998,405.85,899.85,486.0,1317.25,89.0,-33.10000000000002,520.65
1999,224.55,1167.5,226.0,1433.9,11.0,-11.300000000000011,234.9
2000,313.3,1102.0,338.0,1458.65,18.0,0.30000000000001137,336.3
2001,283.20000000000005,1177.7,367.5,1495.95,18.0,79.69999999999999,302.85
2002,243.3,1166.7,257.0,1467.8500000000001,13.0,0.5,258.05
2003,284.75,1111.45,274.5,1439.55,13.0,-6.90000000000002,297.20000000000005
2004,287.20000000000005,1136.0,308.0,1467.0,16.0,-0.5999999999999943,304.95
2005,340.1,1045.75,383.0,1410.85,21.0,5.599999999999994,371.65000000000003
2006,387.5,991.0,360.5,1428.45,19.0,-50.95000000000002,413.85
2007,170.55,1253.4,175.0,1470.25,8.0,-2.3999999999999915,178.5
2008,204.7,1240.4,221.0,1482.0,11.0,1.7999999999999972,215.95
2009,214.0,1199.7,242.0,1458.55,11.0,10.699999999999989,225.65
2010,338.35,1054.1,399.0,1409.3000000000002,20.0,41.599999999999966,358.95000000000005
2011,307.95000000000005,1088.3,253.0,1389.35,12.0,-65.4,320.4
2012,252.7,1201.8,322.0,1477.6,17.0,55.650000000000006,270.55
2013,134.60000000000002,1327.25,85.0,1488.35,4.0,-58.35000000000001,138.1
2014,189.5,1310.65,267.0,1538.9,13.0,66.5,202.0
2015,225.60000000000002,1244.15,203.0,1503.0,10.0,-28.19999999999999,235.3
2016,317.45,1172.35,336.0,1518.65,18.0,0.09999999999999432,335.75
2017,343.35,1163.9,376.5,1522.1,37.0,-20.80000000000001,396.15
2018,268.5,1267.1,277.0,1540.65,13.0,-1.0999999999999943,281.65
2019,400.15000000000003,1163.1999999999998,499.0,1536.25,27.0,31.899999999999977,443.15
2020,200.05,1352.95,141.0,1561.85,8.0,-73.75,207.10000000000002
2021,193.89999999999998,1391.9499999999998,284.5,1596.05,15.0,67.60000000000001,208.15000000000003
2022,191.55,1420.25,221.5,1636.95,11.0,17.099999999999994,205.05
