Year,Month,aet,def,pr,pet,ro,delta,pr_delta
1993,1,33.9,0.0,129.0,34.0,9.0,54.099999999999994,46.3
1993,2,51.5,0.0,84.0,51.6,17.0,0.5,65.2
1993,3,72.10000000000001,17.400000000000002,47.0,89.80000000000001,2.0,-23.900000000000006,74.60000000000001
1993,4,69.35,62.8,12.0,128.9,1.0,-45.900000000000006,70.2
1993,5,35.0,134.25,12.0,170.0,1.0,-19.299999999999997,35.45
1993,6,18.85,191.5,8.0,210.4,0.0,-9.7,19.4
1993,10,10.7,81.7,8.0,92.3,0.0,-2.0,10.7
1993,11,34.85,20.5,35.0,56.8,2.0,-1.0,36.85
1993,12,24.1,0.0,29.0,28.200000000000003,1.0,2.299999999999997,25.8
1994,1,26.200000000000003,1.4,31.0,31.8,2.0,0.10000000000000142,28.1
1994,2,43.5,0.0,57.0,46.1,3.0,8.25,46.900000000000006
1994,3,21.200000000000003,81.7,11.0,100.4,1.0,-4.1,22.0
1994,4,29.8,97.9,23.0,128.70000000000002,1.0,-3.0,30.8
1994,5,24.6,144.95,22.0,165.20000000000002,1.0,-2.5999999999999996,25.6
1994,9,8.5,140.6,7.0,149.0,0.0,-1.1000000000000014,8.5
1994,10,15.2,84.9,14.0,100.3,1.0,-1.1999999999999993,16.2
1994,11,37.5,0.0,67.0,42.5,3.0,20.9,42.3
1994,12,21.3,0.0,35.0,24.0,2.0,5.699999999999999,23.9
1995,1,39.1,0.0,151.0,39.1,9.0,66.25,50.5
1995,2,30.200000000000003,14.8,13.0,47.0,1.0,-18.6,30.650000000000002
1995,3,78.9,0.0,135.0,79.80000000000001,8.0,19.89999999999999,95.4
1995,4,81.10000000000001,34.300000000000004,30.0,119.1,1.0,-40.0,82.5
1995,5,57.0,94.1,23.0,150.20000000000002,1.0,-34.05,58.300000000000004
1995,6,22.95,173.5,8.0,196.5,0.0,-12.85,23.3
1995,11,2.9000000000000004,53.8,1.0,56.5,0.0,-1.8,2.9000000000000004
1995,12,32.0,0.0,85.0,34.5,4.0,47.849999999999994,36.599999999999994
1996,1,30.8,0.0,75.0,32.800000000000004,4.0,17.599999999999998,36.1
1996,2,46.6,0.0,94.0,46.6,5.0,17.099999999999994,57.7
1996,3,69.8,24.3,37.5,96.7,2.0,-24.700000000000003,71.85
1996,4,72.45,67.7,34.0,137.5,2.0,-29.200000000000003,74.3
1996,5,28.700000000000003,153.45000000000002,14.0,182.4,1.0,-14.399999999999999,29.700000000000003
1996,6,8.9,212.4,1.0,223.8,0.0,-7.9,8.9
1996,10,33.9,69.5,33.0,103.1,2.0,-2.0,35.9
1996,11,46.1,0.0,58.0,49.5,3.0,6.899999999999999,49.2
1996,12,36.8,0.0,119.0,37.0,6.0,77.3,42.5
1997,1,30.4,0.0,114.0,30.4,23.0,35.7,51.900000000000006
1997,2,34.800000000000004,17.7,7.0,53.3,0.0,-28.0,34.800000000000004
1997,3,55.0,45.95,5.0,101.7,0.0,-40.60000000000001,55.0
1997,4,29.650000000000002,110.9,5.0,141.1,0.0,-23.65,29.650000000000002
1997,5,16.400000000000002,181.75,2.0,197.8,0.0,-10.700000000000003,16.6
1997,6,9.7,197.0,2.0,209.1,0.0,-6.0,9.7
1997,8,9.3,186.8,6.0,199.9,0.0,-3.0,9.3
1997,9,5.7,146.3,4.0,154.20000000000002,0.0,-2.0999999999999996,5.7
1997,10,9.149999999999999,89.60000000000001,7.0,99.2,0.0,-1.7000000000000002,9.149999999999999
1997,11,45.0,0.0,83.0,46.8,4.0,34.349999999999994,49.400000000000006
1997,12,29.3,0.0,48.0,29.6,2.0,14.799999999999997,32.0
1998,1,30.700000000000003,0.0,99.0,31.1,5.0,36.4,37.800000000000004
1998,2,39.6,0.0,161.0,39.6,74.0,43.15,113.45
1998,3,72.2,9.3,58.0,81.05000000000001,3.0,-15.799999999999997,75.10000000000001
1998,4,80.10000000000001,30.0,42.0,112.3,2.0,-35.30000000000001,82.10000000000001
1998,5,63.400000000000006,72.7,22.0,137.0,1.0,-40.7,64.4
1998,6,20.5,158.85000000000002,8.0,183.1,0.0,-14.100000000000001,20.700000000000003
1998,9,9.0,132.70000000000002,5.0,143.20000000000002,0.0,-3.1999999999999993,9.0
1998,10,16.1,77.2,13.0,97.3,1.0,-2.5999999999999996,17.1
1998,11,39.6,0.0,50.0,45.0,2.0,3.3999999999999986,43.5
